agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 1873,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-201432,,no,4740,2020-09-10T07:00,,,,4220.41,2088.60,173.09,562.70,54002.8192,144.2500,54002.8192,194.0000,31,0,0,1.000,1.000,REFUSED_ALL_FULL,4182.43,37.98,1,B_optimized_placement,1.4334,31,25-54,MALE,0,unimpaired,0,0,0,0
Site 1874,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-102388,,no,4740,2020-09-10T07:00,,,,4919.50,2807.93,173.09,562.70,54002.8192,306.3358,54002.8192,194.0000,44,0,0,1.000,1.000,REFUSED_ALL_FULL,4901.76,17.74,1,B_optimized_placement,0.7063,44,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1875,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-149639,,no,4740,2020-09-10T07:00,,,,3589.22,1460.93,173.09,562.70,54002.8192,186.2217,54002.8192,194.0000,19,0,0,1.000,1.000,REFUSED_ALL_FULL,3554.75,34.47,1,B_optimized_placement,1.0568,19,18-24,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1876,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-149634,,no,4740,2020-09-10T07:00,,,,6008.60,3909.82,173.09,562.70,54002.8192,184.4642,54002.8192,194.0000,24,0,0,1.000,1.000,REFUSED_ALL_FULL,6003.64,4.96,1,B_optimized_placement,1.2847,24,18-24,MALE,0,unimpaired,0,0,0,0
Site 1877,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-119761,,no,4740,2020-09-10T07:00,,,,10283.11,8149.25,173.09,562.70,54002.8192,200.7258,54002.8192,194.0000,45,0,0,1.000,1.000,REFUSED_ALL_FULL,10243.08,40.03,1,B_optimized_placement,1.5529,45,25-54,MALE,0,unimpaired,0,0,0,0
Site 1878,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-134430,,no,4740,2020-09-10T07:00,,,,17643.98,15548.89,173.09,562.70,54002.8192,327.0942,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,17642.71,1.27,1,B_optimized_placement,1.4999,29,25-54,MALE,0,unimpaired,0,0,0,0
Site 1879,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-221937,,no,4740,2020-09-10T07:00,,,,5202.15,3089.91,173.09,562.70,54002.8192,213.1092,54002.8192,194.0000,57,0,0,1.000,1.000,REFUSED_ALL_FULL,5183.74,18.41,1,B_optimized_placement,1.0335,57,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1880,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-140521,,no,4740,2020-09-10T07:00,,,,4044.04,1939.50,173.09,562.70,54002.8192,176.8783,54002.8192,194.0000,33,0,0,1.000,1.000,REFUSED_ALL_FULL,4033.33,10.72,1,B_optimized_placement,1.1286,33,25-54,MALE,0,unimpaired,0,0,0,0
Site 1881,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-113007,,no,4740,2020-09-10T07:00,,,,11173.40,9034.17,173.09,562.70,54002.8192,679.3675,54002.8192,194.0000,24,0,0,1.000,1.000,REFUSED_ALL_FULL,11127.99,45.40,1,B_optimized_placement,0.5530,24,18-24,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1882,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-113008,,no,4740,2020-09-10T07:00,,,,10905.36,8795.49,173.09,562.70,54002.8192,655.7467,54002.8192,194.0000,64,0,0,1.000,1.000,REFUSED_ALL_FULL,10889.32,16.04,1,B_optimized_placement,0.5620,64,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1
