agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 0,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,25-190596,OPT1,yes,4740,2020-09-10T07:00,4774,2020-09-10T07:34,34.0,3167.42,3129.03,17.44,112.10,1387.9625,33.8583,1387.9625,6.5833,37,0,1,1.000,1.000,SHELTERED,3129.03,38.39,0,B_placement_optimized,1.5445,37,25-54,MALE,0,unimpaired,0,1,1,1,49.1080,0.6172,880.8540,1.000,880.8540
Site 1,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,25-167596,OPT2,yes,4740,2020-09-10T07:00,5803,2020-09-11T00:43,1063.0,13731.02,11620.14,52.06,299.55,5034.8217,529.0233,5034.8217,23.7333,43,0,0,1.000,1.000,SHELTERED,13713.96,17.06,0,B_placement_optimized,0.8023,43,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,63.7947,0.6596,3605.5548,1.000,3605.5548
Site 2,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,26-109654,OPT1,yes,4740,2020-09-10T07:00,4744,2020-09-10T07:04,4.0,355.70,314.77,17.18,112.10,1358.0875,3.9833,1358.0875,6.0833,35,0,0,1.000,1.000,SHELTERED,314.77,40.93,0,B_placement_optimized,1.3837,35,25-54,MALE,0,unimpaired,0,0,0,0,48.2980,0.6109,832.4565,1.000,832.4565
Site 3,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,25-123950,OPT2,yes,4740,2020-09-10T07:00,5784,2020-09-11T00:24,1044.0,17377.86,15267.92,51.29,299.55,4944.1125,341.6242,4944.1125,23.4167,50,1,0,1.000,1.000,SHELTERED,17361.74,16.12,0,B_placement_optimized,1.4069,50,25-54,MALE,0,unimpaired,1,0,1,1,62.2717,0.6460,3360.9490,1.000,3360.9490
Site 4,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,26-140497,OPT1,yes,4740,2020-09-10T07:00,4784,2020-09-10T07:44,44.0,3323.61,3312.51,17.53,112.10,1397.9208,43.8167,1397.9208,6.7500,29,0,0,1.000,1.000,SHELTERED,3312.51,11.10,0,B_placement_optimized,1.2571,29,25-54,MALE,0,unimpaired,0,0,0,0,49.3780,0.6193,896.9865,1.000,896.9865
Site 5,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,25-134632,OPT1,yes,4740,2020-09-10T07:00,4835,2020-09-10T08:35,95.0,8098.22,8062.20,18.03,112.10,1452.7883,98.6842,1452.7883,7.6000,42,0,0,1.000,1.000,SHELTERED,8062.20,36.01,0,B_placement_optimized,1.4101,42,25-54,MALE,0,unimpaired,0,0,0,0,50.7550,0.6298,985.8719,1.000,985.8719
Site 6,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,25-102239,OPT2,yes,4740,2020-09-10T07:00,5784,2020-09-11T00:24,1044.0,14814.95,12719.87,51.29,299.55,4944.1125,288.3342,4944.1125,23.4167,42,0,0,1.000,1.000,SHELTERED,14813.69,1.26,0,B_placement_optimized,1.4250,42,25-54,MALE,0,unimpaired,0,0,0,0,61.7162,0.6402,3307.1261,1.000,3307.1261
Site 7,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,25-222052,OPT1,yes,4740,2020-09-10T07:00,4797,2020-09-10T07:57,57.0,5558.77,5488.62,17.65,112.10,1410.8667,56.7625,1410.8667,6.9667,35,0,0,1.000,1.000,SHELTERED,5488.62,70.15,0,B_placement_optimized,1.6056,35,25-54,MALE,0,unimpaired,0,0,0,0,49.7290,0.6220,917.9588,1.000,917.9588
Site 8,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,25-190339,OPT1,yes,4740,2020-09-10T07:00,4742,2020-09-10T07:02,2.0,268.67,237.61,17.16,112.10,1356.0958,1.9917,1356.0958,6.0500,40,0,0,1.000,1.000,SHELTERED,237.61,31.07,0,B_placement_optimized,1.7758,40,25-54,FEMALE,0,unimpaired,0,0,0,0,48.2440,0.6104,829.2300,1.000,829.2300
Site 9,sim-20260726-011358-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,bd3f93ef082a,26-109372,OPT2,yes,4740,2020-09-10T07:00,5780,2020-09-11T00:20,1040.0,15291.83,13154.21,51.12,299.55,4925.0158,240.1675,4925.0158,23.3500,45,0,0,1.000,1.000,SHELTERED,15248.04,43.79,0,B_placement_optimized,1.6865,45,25-54,MALE,0,unimpaired,0,0,0,0,61.3052,0.6364,3246.8288,1.000,3246.8288
