agent_id,sim_id,commit,random_seed,data_version,starting_encampment,start_lon,start_lat,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,chronic_physical,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score,aware_initial,aware_tick,heavy_belongings,has_pet,has_dependents,theta_z,blockages_encountered,push_throughs,reroutes,stuck_events
Site 4845,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-201641,-122.673914,45.525948,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,29,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,0.7477,29,18-44,FEMALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,1,0,0,0.755990,0,0,0,0
Site 4846,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-112857,-122.537711,45.557205,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,55,1,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.6157,55,45-64,MALE,0,unimpaired,1,0,1,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,1,0,1,1,0,-0.539451,0,0,0,0
Site 4847,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-179208,-122.731619,45.591155,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,45,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.5362,45,45-64,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,1,0,0,0,0,-0.965346,0,0,0,0
Site 4848,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-134604,-122.692837,45.517752,Doreens_Place,yes,1920,2020-09-08T08:00,1941,2020-09-08T08:21,21.0,2102.09,2079.25,92.15,497.25,2981.1075,7.8400,2981.1075,9.0000,40,0,0,1.000,1.000,SHELTERED,2079.25,22.84,0,E18_severe_counterfactual_over_A_present_day,1.6233,40,18-44,MALE,0,unimpaired,0,0,0,0,0,20.0870,0.6209,1826.3940,1.000,1826.3940,1,0,0,0,0,2.359567,0,0,0,0
Site 4849,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,26-109603,-122.602788,45.492774,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,50,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.4397,50,45-64,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,236630.0832,1.000,236630.0832,1,0,0,0,0,0.046526,0,0,0,0
Site 4850,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-102378,-122.671065,45.522375,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,58,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.4792,58,45-64,MALE,0,unimpaired,0,0,0,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,1.216598,0,0,0,0
Site 4851,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-112853,-122.734475,45.483563,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,45,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.2325,45,45-64,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,0.056614,0,0,0,0
Site 4852,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,26-109677,-122.593989,45.534849,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,23,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.3780,23,18-44,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-0.184929,0,0,0,0
Site 4853,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-201206,-122.528633,45.531773,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,21,0,1,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.0072,21,18-44,MALE,0,unimpaired,0,1,1,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-0.051620,0,0,0,0
Site 4854,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-112968,-122.699245,45.553648,Arbor_Lodge_Shelter,yes,15600,2020-09-17T20:00,15642,2020-09-17T20:42,42.0,3712.90,3523.99,1001.52,2496.10,261096.9758,1647.3100,261096.9758,217.7167,20,0,0,1.000,1.000,SHELTERED,3523.99,188.91,0,E18_severe_counterfactual_over_A_present_day,1.4562,20,18-44,MALE,0,unimpaired,0,0,0,0,0,159.7340,0.6127,160932.9384,1.000,160932.9384,1,0,0,0,0,-0.068372,0,0,0,0
Site 4855,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-167743,-122.668099,45.514358,Clark_Center,yes,1,2020-09-07T00:01,12,2020-09-07T00:12,11.0,668.88,618.03,24.35,24.35,4.8700,4.4642,4.8700,0.0000,32,0,0,1.000,1.000,SHELTERED,618.03,50.85,0,E18_severe_counterfactual_over_A_present_day,0.9459,32,18-44,MALE,1,ambulant_impaired_no_aid,0,0,0,1,1,0.3072,1.5358,7.4795,1.000,7.4795,1,0,0,0,0,1.359455,0,0,0,0
Site 4856,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-134632,-122.577644,45.518474,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,46,1,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.3054,46,45-64,MALE,1,ambulant_impaired_no_aid,1,0,1,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,0.758142,0,0,0,0
Site 4857,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,26-129985,-122.647894,45.498165,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,54,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.1338,54,45-64,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,0.762424,0,0,0,0
