agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 0,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-201488,OPT2,yes,4740,2020-09-10T07:00,5783,2020-09-11T00:23,1043.0,16511.70,14330.94,51.25,299.55,4939.3383,306.1700,4939.3383,23.4000,25,0,0,1.000,1.000,SHELTERED,16424.77,86.93,0,B_placement_optimized,1.4744,25,25-54,MALE,0,unimpaired,0,0,0,0,61.9248,0.6425,3322.2281,1.000,3322.2281
Site 1,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-123824,OPT2,yes,4740,2020-09-10T07:00,5797,2020-09-11T00:37,1057.0,8755.96,6627.22,51.81,299.55,5006.1767,300.8392,5006.1767,23.6333,38,0,0,1.000,1.000,SHELTERED,8721.05,34.91,0,B_placement_optimized,0.9430,38,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,61.5453,0.6370,3357.6153,1.000,3357.6153
Site 2,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-178775,OPT2,yes,4740,2020-09-10T07:00,5789,2020-09-11T00:29,1049.0,19836.42,17593.48,51.49,299.55,4967.9833,474.7983,4967.9833,23.5000,19,0,0,1.000,1.000,SHELTERED,19687.30,149.11,0,B_placement_optimized,1.1853,19,18-24,FEMALE,0,unimpaired,0,0,0,0,63.5513,0.6587,3510.0161,1.000,3510.0161
Site 3,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-140279,OPT2,yes,4740,2020-09-10T07:00,5781,2020-09-11T00:21,1041.0,13469.10,11336.47,51.17,299.55,4929.7900,225.5617,4929.7900,23.3667,33,0,1,1.000,1.000,SHELTERED,13430.30,38.80,0,B_placement_optimized,1.6032,33,25-54,MALE,0,unimpaired,0,1,1,1,61.1302,0.6345,3234.9892,1.000,3234.9892
Site 4,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-109677,OPT1,yes,4740,2020-09-10T07:00,4819,2020-09-10T08:19,79.0,6778.12,6753.07,17.87,112.10,1435.0417,80.9375,1435.0417,7.3333,54,0,0,1.000,1.000,SHELTERED,6753.07,25.04,0,B_placement_optimized,1.4232,54,25-54,MALE,0,unimpaired,0,0,0,0,50.3230,0.6266,957.1223,1.000,957.1223
Site 5,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-123734,OPT1,yes,4740,2020-09-10T07:00,4754,2020-09-10T07:14,14.0,1377.50,1348.43,17.27,112.10,1368.0458,13.9417,1368.0458,6.2500,42,0,0,1.000,1.000,SHELTERED,1348.43,29.07,0,B_placement_optimized,1.5416,42,25-54,MALE,0,unimpaired,0,0,0,0,48.5680,0.6130,848.5890,1.000,848.5890
Site 6,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-130103,OPT2,yes,4740,2020-09-10T07:00,5783,2020-09-11T00:23,1043.0,14011.46,11868.64,51.25,299.55,4939.3383,259.3350,4939.3383,23.4000,38,0,0,1.000,1.000,SHELTERED,13962.47,48.99,0,B_placement_optimized,1.4933,38,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,61.4367,0.6374,3274.9247,1.000,3274.9247
Site 7,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-156567,OPT1,yes,4740,2020-09-10T07:00,4801,2020-09-10T08:01,61.0,4524.46,4477.39,17.68,112.10,1415.0767,60.9725,1415.0767,7.0333,36,0,1,1.000,1.000,SHELTERED,4477.39,47.07,0,B_placement_optimized,1.2247,36,25-54,MALE,0,unimpaired,0,1,1,1,49.8370,0.6228,924.7790,1.000,924.7790
Site 8,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-167986,OPT1,yes,4740,2020-09-10T07:00,4767,2020-09-10T07:27,27.0,2830.63,2795.83,17.38,112.10,1380.9917,26.8875,1380.9917,6.4667,59,0,0,1.000,1.000,SHELTERED,2795.83,34.79,0,B_placement_optimized,1.6889,59,55-69,MALE,0,unimpaired,0,0,0,1,48.9190,0.6157,869.5613,1.000,869.5613
Site 9,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-102237,OPT2,yes,4740,2020-09-10T07:00,5815,2020-09-11T00:55,1075.0,13644.12,11508.15,52.54,299.55,5092.1117,688.7383,5092.1117,23.9333,43,0,0,1.000,1.000,SHELTERED,13601.98,42.14,0,B_placement_optimized,0.6324,43,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,65.1792,0.6725,3801.8138,1.000,3801.8138
Site 10,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-119305,OPT2,yes,4740,2020-09-10T07:00,5787,2020-09-11T00:27,1047.0,12541.84,10446.77,51.41,299.55,4958.4350,284.8917,4958.4350,23.4667,30,0,0,1.000,1.000,SHELTERED,12540.60,1.25,0,B_placement_optimized,1.2691,30,25-54,FEMALE,0,unimpaired,0,0,0,0,61.6120,0.6388,3312.3859,1.000,3312.3859
Site 11,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-119547,OPT1,yes,4740,2020-09-10T07:00,4786,2020-09-10T07:46,46.0,3131.87,3130.60,17.55,112.10,1399.9125,45.8083,1399.9125,6.7833,66,0,0,1.000,1.000,SHELTERED,3130.60,1.26,0,B_placement_optimized,1.1306,66,55-69,MALE,0,unimpaired,0,0,0,1,49.4320,0.6197,900.2130,1.000,900.2130
Site 12,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-140556,OPT1,yes,4740,2020-09-10T07:00,4817,2020-09-10T08:17,77.0,5298.86,5271.51,17.85,112.10,1432.8233,78.7192,1432.8233,7.3000,19,0,0,1.000,1.000,SHELTERED,5271.51,27.35,0,B_placement_optimized,1.1356,19,18-24,MALE,0,unimpaired,0,0,0,0,50.2690,0.6261,953.5286,1.000,953.5286
Site 13,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-212049,OPT1,yes,4740,2020-09-10T07:00,4827,2020-09-10T08:27,87.0,8544.44,8540.53,17.95,112.10,1443.9150,89.8108,1443.9150,7.4667,29,0,0,1.000,1.000,SHELTERED,8540.53,3.91,0,B_placement_optimized,1.6210,29,25-54,MALE,0,unimpaired,0,0,0,0,50.5390,0.6282,971.4971,1.000,971.4971
Site 14,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-123751,OPT2,yes,4740,2020-09-10T07:00,5787,2020-09-11T00:27,1047.0,15537.28,13379.70,51.41,299.55,4958.4350,351.1067,4958.4350,23.4667,49,0,0,1.000,1.000,SHELTERED,15473.52,63.76,0,B_placement_optimized,1.2574,49,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,62.3022,0.6460,3379.2631,1.000,3379.2631
Site 15,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-130081,OPT2,yes,4740,2020-09-10T07:00,5787,2020-09-11T00:27,1047.0,13880.66,11742.87,51.41,299.55,4958.4350,310.7317,4958.4350,23.4667,26,0,0,1.000,1.000,SHELTERED,13836.69,43.96,0,B_placement_optimized,1.2797,26,25-54,MALE,0,unimpaired,0,0,0,0,61.8813,0.6416,3338.4843,1.000,3338.4843
Site 16,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-212199,OPT2,yes,4740,2020-09-10T07:00,5783,2020-09-11T00:23,1043.0,14397.84,12251.76,51.25,299.55,4939.3383,270.6400,4939.3383,23.4000,41,0,0,1.000,1.000,SHELTERED,14345.59,52.25,0,B_placement_optimized,1.4578,41,25-54,MALE,0,unimpaired,0,0,0,0,61.5545,0.6386,3286.3428,1.000,3286.3428
Site 17,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-167646,OPT2,yes,4740,2020-09-10T07:00,5790,2020-09-11T00:30,1050.0,15238.44,13112.39,51.53,299.55,4972.7575,391.2425,4972.7575,23.5167,25,1,0,1.000,1.000,SHELTERED,15206.22,32.22,0,B_placement_optimized,1.1264,25,25-54,MALE,0,unimpaired,1,0,1,1,62.6525,0.6492,3428.5370,1.000,3428.5370
Site 18,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-222180,OPT1,yes,4740,2020-09-10T07:00,4833,2020-09-10T08:33,93.0,6767.61,6766.33,18.01,112.10,1450.5700,96.4658,1450.5700,7.5667,39,0,0,1.000,1.000,SHELTERED,6766.33,1.28,0,B_placement_optimized,1.2100,39,25-54,FEMALE,0,unimpaired,0,0,0,0,50.7010,0.6294,982.2782,1.000,982.2782
Site 19,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-109598,OPT1,yes,4740,2020-09-10T07:00,4761,2020-09-10T07:21,21.0,1968.85,1961.93,17.33,112.10,1375.0167,20.9125,1375.0167,6.3667,34,0,0,1.000,1.000,SHELTERED,1961.93,6.92,0,B_placement_optimized,1.5150,34,25-54,FEMALE,0,unimpaired,0,0,0,0,48.7570,0.6145,859.8818,1.000,859.8818
Site 20,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-134269,OPT1,yes,4740,2020-09-10T07:00,4787,2020-09-10T07:47,47.0,4077.44,4076.15,17.56,112.10,1400.9083,46.8042,1400.9083,6.8000,27,0,0,1.000,1.000,SHELTERED,4076.15,1.29,0,B_placement_optimized,1.4409,27,25-54,MALE,0,unimpaired,0,0,0,0,49.4590,0.6199,901.8263,1.000,901.8263
Site 21,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-134537,OPT1,yes,4740,2020-09-10T07:00,4772,2020-09-10T07:32,32.0,1719.53,1681.27,17.43,112.10,1385.9708,31.8667,1385.9708,6.5500,29,0,0,1.000,1.000,SHELTERED,1681.27,38.26,0,B_placement_optimized,0.8759,29,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,49.0540,0.6168,877.6275,1.000,877.6275
Site 22,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,26-149766,OPT2,yes,4740,2020-09-10T07:00,5786,2020-09-11T00:26,1046.0,11204.20,9101.47,51.37,299.55,4953.6608,244.9958,4953.6608,23.4500,62,1,0,1.000,1.000,SHELTERED,11195.29,8.91,0,B_placement_optimized,1.3210,62,55-69,MALE,0,unimpaired,1,0,1,1,61.1978,0.6346,3269.1789,1.000,3269.1789
Site 23,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-221864,OPT2,yes,4740,2020-09-10T07:00,5781,2020-09-11T00:21,1041.0,13538.92,11431.33,51.17,299.55,4929.7900,222.2342,4929.7900,23.3667,37,0,0,1.000,1.000,SHELTERED,13525.16,13.76,0,B_placement_optimized,1.6517,37,25-54,FEMALE,0,unimpaired,0,0,0,0,61.0797,0.6339,3231.6284,1.000,3231.6284
Site 24,sim-20260726-005441-seed44,b69fc6dd10bda0810b63b69b4bb59585812306c6,44,bd3f93ef082a,25-212393,OPT1,yes,4740,2020-09-10T07:00,4766,2020-09-10T07:26,26.0,1898.36,1897.10,17.37,112.10,1379.9958,25.8917,1379.9958,6.4500,49,0,0,1.000,1.000,SHELTERED,1897.10,1.25,0,B_placement_optimized,1.1764,49,25-54,MALE,0,unimpaired,0,0,0,0,48.8920,0.6155,867.9480,1.000,867.9480
