agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals
Site 0,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-201488,,no,960,2020-09-07T16:00,,,,13712.76,13625.83,173.09,562.70,54002.8192,261.4200,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13625.83,86.93,1
Site 1,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-123824,,no,960,2020-09-07T16:00,,,,5461.43,5426.52,173.09,562.70,54002.8192,95.8850,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,5426.52,34.91,1
Site 2,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-178775,,no,960,2020-09-07T16:00,,,,17037.48,16888.36,173.09,562.70,54002.8192,309.3917,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,16888.36,149.11,1
Site 3,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,26-140279,,no,960,2020-09-07T16:00,,,,4003.66,3964.86,173.09,562.70,54002.8192,71.5000,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,3964.86,38.80,1
Site 4,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,26-109677,,no,960,2020-09-07T16:00,,,,5577.41,5552.37,173.09,562.70,54002.8192,97.1150,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,5552.37,25.04,1
Site 5,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-123734,OCC,yes,960,2020-09-07T16:00,966,2020-09-07T16:06,6.0,502.86,473.79,9.63,82.50,155.0333,8.2500,155.0333,0.1167,,,,1.000,1.000,SHELTERED,473.79,29.07,0
Site 6,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,26-130103,,no,960,2020-09-07T16:00,,,,11502.96,11453.97,173.09,562.70,54002.8192,209.1067,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11453.97,48.99,1
Site 7,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-156567,,no,960,2020-09-07T16:00,,,,4270.44,4223.37,173.09,562.70,54002.8192,75.6250,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,4223.37,47.07,1
Site 8,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-167986,,no,960,2020-09-07T16:00,,,,10962.51,2358.35,173.09,562.70,54002.8192,196.0283,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10927.72,34.79,2
Site 9,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-102237,,no,960,2020-09-07T16:00,,,,11135.62,11093.48,173.09,562.70,54002.8192,199.7650,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11093.48,42.14,1
Site 10,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,26-119305,,no,960,2020-09-07T16:00,,,,10033.34,10032.10,173.09,562.70,54002.8192,173.6083,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10032.10,1.25,1
Site 11,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,26-119547,,no,960,2020-09-07T16:00,,,,4129.23,4127.96,173.09,562.70,54002.8192,72.8750,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,4127.96,1.26,1
Site 12,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,26-140556,,no,960,2020-09-07T16:00,,,,4098.16,4070.81,173.09,562.70,54002.8192,72.8750,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,4070.81,27.35,1
Site 13,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-212049,,no,960,2020-09-07T16:00,,,,8129.76,8125.85,173.09,562.70,54002.8192,137.7050,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,8125.85,3.91,1
Site 14,sim-20260725-220551-seed44,83d721b7e796a803ae86e8942531b7f7e03db038,44,0bc943324ae6,25-123751,,no,960,2020-09-07T16:00,,,,5649.09,5585.33,173.09,562.70,54002.8192,98.3450,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,5585.33,63.76,1
