agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 465,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-178839,OCC,yes,4740,2020-09-10T07:00,4752.0,2020-09-10T07:12,12.0,1172.99,1147.8,17.25,112.1,1366.0542,11.95,1366.0542,6.2167,44,0,0,1.0,1.0,SHELTERED,1147.8,25.19,0,A_current_placement,1.533,44,25-54,MALE,0,unimpaired,0,0,0,0
Site 468,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-201233,OCC,yes,4740,2020-09-10T07:00,4751.0,2020-09-10T07:11,11.0,1029.53,1028.29,17.24,112.1,1365.0583,10.9542,1365.0583,6.2,46,0,0,1.0,1.0,SHELTERED,1028.29,1.24,0,A_current_placement,1.4374,46,25-54,MALE,0,unimpaired,0,0,0,0
Site 472,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-119720,OCC,yes,4740,2020-09-10T07:00,4751.0,2020-09-10T07:11,11.0,906.0,871.79,17.24,112.1,1365.0583,10.9542,1365.0583,6.2,56,0,0,1.0,1.0,SHELTERED,871.79,34.21,0,A_current_placement,1.3364,56,55-69,MALE,0,unimpaired,0,0,0,1
Site 485,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-102058,CJ,yes,4740,2020-09-10T07:00,5845.0,2020-09-11T01:25,1105.0,12875.65,4280.99,53.72,299.55,5233.43,446.7183,5233.43,24.4333,33,0,0,1.0,1.0,SHELTERED,12850.35,25.29,0,A_current_placement,1.6795,33,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 493,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-190637,CJ,yes,4740,2020-09-10T07:00,5843.0,2020-09-11T01:23,1103.0,18700.7,10117.44,53.64,299.55,5224.0283,497.6167,5224.0283,24.4,39,0,0,1.0,1.0,SHELTERED,18686.8,13.9,0,A_current_placement,1.72,39,25-54,MALE,0,unimpaired,0,0,0,0
Site 532,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-190510,OCC,yes,4740,2020-09-10T07:00,4749.0,2020-09-10T07:09,9.0,819.11,793.06,17.22,112.1,1363.0667,8.9625,1363.0667,6.1667,53,0,0,1.0,1.0,SHELTERED,793.06,26.04,0,A_current_placement,1.4908,53,25-54,MALE,0,unimpaired,0,0,0,0
Site 533,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-212520,CJ,yes,4740,2020-09-10T07:00,5837.0,2020-09-11T01:17,1097.0,15500.75,6915.43,53.41,299.55,5195.8233,429.4817,5195.8233,24.3,48,1,0,1.0,1.0,SHELTERED,15484.79,15.96,0,A_current_placement,1.8405,48,25-54,MALE,0,unimpaired,1,0,1,1
Site 538,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-140274,CJ,yes,4740,2020-09-10T07:00,5838.0,2020-09-11T01:18,1098.0,10559.52,1962.08,53.45,299.55,5200.5242,389.9125,5200.5242,24.3167,35,0,0,1.0,1.0,SHELTERED,10531.44,28.08,0,A_current_placement,1.8139,35,25-54,MALE,0,unimpaired,0,0,0,0
Site 540,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-130096,OCC,yes,4740,2020-09-10T07:00,4754.0,2020-09-10T07:14,14.0,1152.19,1122.12,17.27,112.1,1368.0458,13.9417,1368.0458,6.25,33,0,0,1.0,1.0,SHELTERED,1122.12,30.06,0,A_current_placement,1.3231,33,25-54,MALE,0,unimpaired,0,0,0,0
Site 543,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-201278,CJ,yes,4740,2020-09-10T07:00,5842.0,2020-09-11T01:22,1102.0,18146.99,9561.96,53.6,299.55,5219.3275,486.2608,5219.3275,24.3833,34,0,0,1.0,1.0,SHELTERED,18131.32,15.67,0,A_current_placement,1.7341,34,25-54,MALE,0,unimpaired,0,0,0,0
