agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state
Site 28,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-112538,OCC,yes,960,2020-09-07T16:00,971,2020-09-07T16:11,11.0,901.14,872.32,10.00,82.50,161.9083,15.1250,161.9083,0.2000,,,,1.000,1.000,SHELTERED
Site 29,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,26-119671,OCC,yes,960,2020-09-07T16:00,1060,2020-09-07T17:40,100.0,7865.12,7787.23,15.75,82.50,278.3383,131.5550,278.3383,1.6833,,,,1.000,1.000,SHELTERED
Site 30,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-156604,CJ,yes,960,2020-09-07T16:00,985,2020-09-07T16:25,25.0,1995.58,1993.71,11.04,82.50,181.1583,34.3750,181.1583,0.4333,,,,1.000,1.000,SHELTERED
Site 31,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-212115,OCC,yes,960,2020-09-07T16:00,974,2020-09-07T16:14,14.0,1108.68,1103.61,10.23,82.50,166.0333,19.2500,166.0333,0.2500,,,,1.000,1.000,SHELTERED
Site 32,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-102540,OCC,yes,960,2020-09-07T16:00,1006,2020-09-07T16:46,46.0,3633.28,3596.66,12.53,82.50,210.0333,63.2500,210.0333,0.7833,,,,1.000,1.000,SHELTERED
Site 33,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-145224,CJ,yes,960,2020-09-07T16:00,1030,2020-09-07T17:10,70.0,5489.88,5389.72,14.06,82.50,241.4383,94.6550,241.4383,1.1833,,,,1.000,1.000,SHELTERED
Site 34,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-156610,OCC,yes,960,2020-09-07T16:00,1108,2020-09-07T18:28,148.0,11556.24,11533.20,19.27,112.10,355.8900,209.1067,355.8900,2.4833,,,,1.000,1.000,SHELTERED
Site 35,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-201644,CJ,yes,960,2020-09-07T16:00,1015,2020-09-07T16:55,55.0,4335.78,4307.17,13.15,82.50,222.4083,75.6250,222.4083,0.9333,,,,1.000,1.000,SHELTERED
Site 36,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-145015,OCC,yes,960,2020-09-07T16:00,1004,2020-09-07T16:44,44.0,3477.31,3435.36,12.39,82.50,207.2833,60.5000,207.2833,0.7500,,,,1.000,1.000,SHELTERED
Site 37,sim-20260724-223555-seed42,ae66e63c11b3462e01e05e0509a6f7443aa54b8c,42,0bc943324ae6,25-123905,OCC,yes,960,2020-09-07T16:00,999,2020-09-07T16:39,39.0,3056.67,3043.33,12.04,82.50,200.4083,53.6250,200.4083,0.6667,,,,1.000,1.000,SHELTERED
