arm,model,feature,coef,se,p,odds_ratio
A,logit_sheltered,intercept,-3.040929089394071,0.0750500252883068,0.0,
A,logit_sheltered,age_55plus,0.007496371693371688,0.02451830031284339,0.7597980636006676,1.007524539829936
A,logit_sheltered,female,-0.006713298202474177,0.02304557851972865,0.7708178662449183,0.993309185642184
A,logit_sheltered,sex_other,-0.04968857426410672,0.06995424764832286,0.4775174802904003,0.9515257079569945
A,logit_sheltered,mobility_limited,0.20691556877526782,0.03235760648253813,1.6091550314456526e-10,1.2298787272297411
A,logit_sheltered,asthma,-0.005323307332953652,0.028869616740860683,0.8537064625640813,0.994690836359324
A,logit_sheltered,copd,-0.02832026880442972,0.036075671724342444,0.43243948612106475,0.9720769910062085
A,logit_sheltered,chronic_physical,0.0027717246595359156,0.021010574874123705,0.8950472069306947,1.0027755694397333
A,logit_sheltered,walking_speed_mps,2.991725261269836,0.052501923424803705,0.0,19.92002010154875
A,logit_sheltered,dist_nearest_shelter_km,-1.6563635954319704,0.018483492424340484,0.0,0.19083166102806312
A,ols_travel_time_min,intercept,-62.950104267928,3.1735613923330495,0.0,
A,ols_travel_time_min,age_55plus,-0.36642254940311025,1.0923461401853911,0.7372890830484191,
A,ols_travel_time_min,female,-2.505465465708941,1.0228506535217203,0.014305750992365418,
A,ols_travel_time_min,sex_other,-4.8039708681285465,3.079359519159736,0.11874683430108579,
A,ols_travel_time_min,mobility_limited,12.689782040609261,1.4748607306992354,0.0,
A,ols_travel_time_min,asthma,1.4645549182856694,1.2637402295919904,0.2464948952889261,
A,ols_travel_time_min,copd,0.5135058609367853,1.7073903724877226,0.7636014729261118,
A,ols_travel_time_min,chronic_physical,-1.418091307321625,0.9176955247138207,0.12227992968905665,
A,ols_travel_time_min,walking_speed_mps,41.090583858165154,2.1422859503771567,0.0,
A,ols_travel_time_min,dist_nearest_shelter_km,57.53550590292764,0.7123269794986054,0.0,
B,logit_sheltered,intercept,-4.748802445774329,0.13285666222272907,0.0,
B,logit_sheltered,age_55plus,-0.10489989494589817,0.0406058380005243,0.009784039326588001,0.9004146541325447
B,logit_sheltered,female,-0.059327006280858845,0.04205442013593195,0.15832722848644876,0.9423985485203659
B,logit_sheltered,sex_other,-0.08045960652754341,0.13112974837408767,0.5394877841902646,0.9226921735719185
B,logit_sheltered,mobility_limited,0.0630273672047571,0.0524457130128111,0.229454996552648,1.0650559864377236
B,logit_sheltered,asthma,0.08840073667422646,0.05480618265949899,0.10675099302063118,1.0924258094093493
B,logit_sheltered,copd,-0.22851635666892484,0.053219625109294094,1.7561200063909155e-05,0.7957132818793304
B,logit_sheltered,chronic_physical,0.014584981140488005,0.04021169243846896,0.7168252784836142,1.0146918609591427
B,logit_sheltered,walking_speed_mps,8.013134839315835,0.11583597572693004,0.0,3020.370664164845
B,logit_sheltered,dist_nearest_shelter_km,-0.858893301718377,0.017831492995310203,0.0,0.4236306543031786
B,ols_travel_time_min,intercept,137.7348095453084,3.3553613301426446,0.0,
B,ols_travel_time_min,age_55plus,2.224750299223371,1.0994188454703178,0.043014479385677484,
B,ols_travel_time_min,female,0.6047583750724523,1.0325165167267585,0.5580683779627238,
B,ols_travel_time_min,sex_other,-3.0318069554645493,3.135536486980112,0.3335849818654184,
B,ols_travel_time_min,mobility_limited,-9.238328412951105,1.4493587872987599,1.840647634310244e-10,
B,ols_travel_time_min,asthma,0.3381902234729879,1.2936468887634778,0.7937656230359296,
B,ols_travel_time_min,copd,-0.2937274374131709,1.5925284774819144,0.8536675611043556,
B,ols_travel_time_min,chronic_physical,-0.20025294266992205,0.9461174025978033,0.8323741656690373,
B,ols_travel_time_min,walking_speed_mps,-109.56300514430279,2.3085341396077044,0.0,
B,ols_travel_time_min,dist_nearest_shelter_km,69.63412352978935,0.4665252561395227,0.0,
C,logit_sheltered,intercept,-3.1337813519945623,0.1753759522213807,0.0,
C,logit_sheltered,age_55plus,-0.19048819683146662,0.054555071157931075,0.00048001446853240815,0.8265555136455105
C,logit_sheltered,female,-0.04335403110505665,0.058528156377813334,0.45885229740062394,0.9575723196633352
C,logit_sheltered,sex_other,-0.25189929691674773,0.1752577529330271,0.15063061571962688,0.7773230129517061
C,logit_sheltered,mobility_limited,-0.19645671702995787,0.0807139915213886,0.014933576937720794,0.8216368934106741
C,logit_sheltered,asthma,-0.018701848068554967,0.07449059301929543,0.8017652322790692,0.981471946379848
C,logit_sheltered,copd,-0.22123355449600815,0.07608777168187014,0.0036420240353787214,0.8015294576191881
C,logit_sheltered,chronic_physical,0.050324615324338906,0.055347804231503754,0.3632217588341753,1.0516124104788391
C,logit_sheltered,walking_speed_mps,7.77668134240233,0.153868623900392,0.0,2384.3488386129447
C,logit_sheltered,dist_nearest_shelter_km,-0.9213339693057366,0.027179748682025655,0.0,0.3979877833355011
C,ols_travel_time_min,intercept,110.04782505030188,2.9984707528937253,0.0,
C,ols_travel_time_min,age_55plus,1.0588766954384394,0.9996305819851606,0.28947774037168905,
C,ols_travel_time_min,female,0.1537945156678238,0.9439126240298357,0.8705711876737872,
C,ols_travel_time_min,sex_other,1.2770836076878431,2.8811341341703414,0.6575796698901848,
C,ols_travel_time_min,mobility_limited,-5.241621082860023,1.3063326904105326,6.008664836443245e-05,
C,ols_travel_time_min,asthma,2.2948937336271484,1.1873706177189502,0.05326667320796852,
C,ols_travel_time_min,copd,2.448719350169911,1.436477225766822,0.08825602465086835,
C,ols_travel_time_min,chronic_physical,1.51520455457805,0.8674468016009744,0.08068234281169517,
C,ols_travel_time_min,walking_speed_mps,-85.27957429764938,2.0524588227866185,0.0,
C,ols_travel_time_min,dist_nearest_shelter_km,60.54234267987778,0.538350989999495,0.0,
D,logit_sheltered,intercept,-8.892305329952476,0.2729754459973434,0.0,
D,logit_sheltered,age_55plus,0.10989083809694504,0.07099965090140996,0.12167867090860329,1.1161562220710834
D,logit_sheltered,female,-0.016270189318615756,0.06743186921849041,0.8093354913323247,0.9838614552837763
D,logit_sheltered,sex_other,0.24089709612789917,0.2282158974187705,0.2911662325501032,1.2723900947036293
D,logit_sheltered,mobility_limited,4.811231654173794,0.14282099428997508,0.0,122.88287355468074
D,logit_sheltered,asthma,0.11440916402042951,0.0911765760038357,0.2095482007748024,1.1212107901577402
D,logit_sheltered,copd,-0.04199637288716051,0.08438795961287802,0.6187248678871609,0.9588732585076845
D,logit_sheltered,chronic_physical,-0.050724850792530786,0.06520564813494667,0.43661551691209466,0.9505401749302129
D,logit_sheltered,walking_speed_mps,10.546918787574242,0.23933051187095641,0.0,38059.98655432168
D,logit_sheltered,dist_nearest_shelter_km,-0.9518693166398777,0.029570812074956487,0.0,0.38601875730641944
D,ols_travel_time_min,intercept,143.74798555652532,5.99507201139077,0.0,
D,ols_travel_time_min,age_55plus,-0.4406475824890273,1.9677323887728544,0.822806524782334,
D,ols_travel_time_min,female,0.9817977233080014,1.8641376623655814,0.5984181741628378,
D,ols_travel_time_min,sex_other,2.3705770597627596,5.613195842830469,0.6727898767692184,
D,ols_travel_time_min,mobility_limited,-24.699439780667483,2.580016969460388,0.0,
D,ols_travel_time_min,asthma,1.2164182288531669,2.33012385497131,0.6016423694738109,
D,ols_travel_time_min,copd,-4.48376699494565,2.925870562369533,0.12541002363074227,
D,ols_travel_time_min,chronic_physical,1.4598863166491887,1.7017968285046798,0.3909753264836877,
D,ols_travel_time_min,walking_speed_mps,-110.25082762329271,4.107104219364333,0.0,
D,ols_travel_time_min,dist_nearest_shelter_km,69.5455412275266,0.8525055942028191,0.0,
