shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted,policy_refused
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,88,true,22,22,9,0.2500,1558.66,9
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,175,true,1,1,0,0.0057,2467.97,0
Clark_Center,Clark Center,-122.661942,45.512502,90,true,90,90,68,1.0000,960.25,54
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,90,true,0,0,0,0.0000,,0
Jeans_Place,Jean's Place,-122.654323,45.523278,60,true,52,52,54,0.8667,1199.84,54
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,120,true,120,120,7,1.0000,4262.88,0
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,100,true,100,100,51,1.0000,3814.77,0
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,72,true,47,47,0,0.6528,6077.48,0
Willamette_Center,Willamette Center,-122.649327,45.485729,130,true,101,101,0,0.7769,6269.54,0
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,72,true,60,60,34,0.8333,1361.65,34
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,76,true,13,13,9,0.1711,1117.90,9
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,150,true,137,137,19,0.9133,5683.37,19
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,52,true,0,0,0,0.0000,,0
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,54,true,2,2,0,0.0370,23505.93,0
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,21,true,0,0,9,0.0000,,9
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,20,true,0,0,9,0.0000,,9
Avalon_Village,Avalon Village,-122.647011,45.504545,11,true,0,0,0,0.0000,,0
Beacon_Village,Beacon Village,-122.585163,45.527605,11,true,4,4,4,0.3636,1266.54,4
Dignity_Village,Dignity Village,-122.635880,45.590779,66,true,2,2,0,0.0303,3398.57,0
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,42,true,16,16,11,0.3810,1817.82,11
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,21,true,1,1,9,0.0476,195.26,9
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,32,true,32,32,15,1.0000,1436.17,10
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,11,true,11,11,66,1.0000,4545.13,12
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,11,true,0,0,9,0.0000,,9
St_Johns_Village,St Johns Village,-122.750203,45.590193,21,true,21,21,10,1.0000,1256.19,8
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,127,true,127,127,59,1.0000,3093.84,27
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,30,true,8,8,29,0.2667,817.15,29
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,30,true,0,0,29,0.0000,,29
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,33,true,0,0,33,0.0000,,33
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,61,true,3,3,0,0.0492,2786.29,0
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,66,true,25,25,9,0.3788,1487.92,9
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,42,true,34,34,14,0.8095,741.23,14
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,38,true,31,31,25,0.8158,3819.10,25
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,90,true,85,85,61,0.9444,1294.38,61
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,55,true,55,55,76,1.0000,2928.73,12
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,66,true,23,23,2,0.3485,2242.55,2
