agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals
Site 270,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-134498,,no,960,2020-09-07T16:00,,,,19913.34,11326.01,173.09,562.70,54002.8192,347.9717,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,19895.37,17.98,2
Site 271,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-112861,CJ,yes,960,2020-09-07T16:00,982,2020-09-07T16:22,22.0,1762.90,1680.67,10.82,82.50,177.0333,30.2500,177.0333,0.3833,,,,1.000,1.000,SHELTERED,1680.67,82.22,0
Site 272,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-145148,,no,960,2020-09-07T16:00,,,,19656.74,11069.20,173.09,562.70,54002.8192,344.9017,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,19638.56,18.17,2
Site 273,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-201232,CJ,yes,960,2020-09-07T16:00,1006,2020-09-07T16:46,46.0,3624.13,3620.54,12.53,82.50,210.0333,63.2500,210.0333,0.7833,,,,1.000,1.000,SHELTERED,3620.54,3.59,0
Site 274,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-221931,,no,960,2020-09-07T16:00,,,,21444.03,12846.29,173.09,562.70,54002.8192,368.4383,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,21415.65,28.39,2
Site 275,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-212290,CJ,yes,960,2020-09-07T16:00,1056,2020-09-07T17:36,96.0,7507.85,7304.70,15.54,82.50,273.4183,126.6350,273.4183,1.6167,,,,1.000,1.000,SHELTERED,7304.70,203.15,0
Site 276,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-109372,,no,960,2020-09-07T16:00,,,,21062.25,12449.10,173.09,562.70,54002.8192,363.3217,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,21018.46,43.79,2
Site 277,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-109550,,no,960,2020-09-07T16:00,,,,14485.95,5881.64,173.09,562.70,54002.8192,274.4392,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,14451.00,34.95,2
Site 278,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,26-119703,CJ,yes,960,2020-09-07T16:00,1002,2020-09-07T16:42,42.0,3338.48,3315.71,12.25,82.50,204.5333,57.7500,204.5333,0.7167,,,,1.000,1.000,SHELTERED,3315.71,22.77,0
Site 279,sim-20260725-220228-seed42,c23a7395c83767e01fbe6e5abc8a9c5c6d15f05b,42,0bc943324ae6,25-221982,,no,960,2020-09-07T16:00,,,,18874.72,10304.13,173.09,562.70,54002.8192,334.6683,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,18873.49,1.23,2
