agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 1514,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-221933,OPT1,yes,4740,2020-09-10T07:00,4784,2020-09-10T07:44,44.0,2767.15,2716.62,17.53,112.10,1397.9208,43.8167,1397.9208,6.7500,29,0,0,1.000,1.000,SHELTERED,2716.62,50.53,0,B_placement_optimized,1.0400,29,25-54,OTHER,0,unimpaired,0,0,0,0,49.3780,0.6193,896.9865,1.000,896.9865
Site 1515,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-167849,OPT1,yes,4740,2020-09-10T07:00,4839,2020-09-10T08:39,99.0,9898.44,9865.42,18.07,112.10,1457.2250,103.1208,1457.2250,7.6667,50,0,0,1.000,1.000,SHELTERED,9865.42,33.03,0,B_placement_optimized,1.6552,50,25-54,MALE,0,unimpaired,0,0,0,0,50.8630,0.6307,993.0593,1.000,993.0593
Site 1516,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-149977,OPT2,yes,4740,2020-09-10T07:00,5786,2020-09-11T00:26,1046.0,10918.54,8805.16,51.37,299.55,4953.6608,242.7775,4953.6608,23.4500,48,1,0,1.000,1.000,SHELTERED,10898.99,19.55,0,B_placement_optimized,1.3053,48,25-54,MALE,0,unimpaired,1,0,1,1,61.1642,0.6343,3266.9384,1.000,3266.9384
Site 1517,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-140198,OPT1,yes,4740,2020-09-10T07:00,4766,2020-09-10T07:26,26.0,1978.83,1977.56,17.37,112.10,1379.9958,25.8917,1379.9958,6.4500,58,0,0,1.000,1.000,SHELTERED,1977.56,1.27,0,B_placement_optimized,1.2464,58,55-69,MALE,0,unimpaired,0,0,0,1,48.8920,0.6155,867.9480,1.000,867.9480
Site 1518,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-123886,OPT1,yes,4740,2020-09-10T07:00,4768,2020-09-10T07:28,28.0,2181.34,2180.09,17.39,112.10,1381.9875,27.8833,1381.9875,6.4833,63,0,0,1.000,1.000,SHELTERED,2180.09,1.25,0,B_placement_optimized,1.2966,63,55-69,OTHER,0,unimpaired,0,0,0,1,48.9460,0.6159,871.1745,1.000,871.1745
Site 1519,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-201691,OPT1,yes,4740,2020-09-10T07:00,4742,2020-09-10T07:02,2.0,237.27,236.00,17.16,112.10,1356.0958,1.9917,1356.0958,6.0500,60,0,0,1.000,1.000,SHELTERED,236.00,1.27,0,B_placement_optimized,1.3349,60,55-69,MALE,0,unimpaired,0,0,0,1,48.2440,0.6104,829.2300,1.000,829.2300
Site 1520,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-201465,OPT1,yes,4740,2020-09-10T07:00,4769,2020-09-10T07:29,29.0,2953.57,2928.23,17.40,112.10,1382.9833,28.8792,1382.9833,6.5000,55,1,0,1.000,1.000,SHELTERED,2928.23,25.34,0,B_placement_optimized,1.6490,55,55-69,MALE,0,unimpaired,1,0,1,1,48.9730,0.6161,872.7878,1.000,872.7878
Site 1521,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-134299,OPT2,yes,4740,2020-09-10T07:00,5790,2020-09-11T00:30,1050.0,10287.38,8174.24,51.53,299.55,4972.7575,270.1442,4972.7575,23.5167,69,1,0,1.000,1.000,SHELTERED,10268.06,19.32,0,B_placement_optimized,1.1446,69,55-69,FEMALE,0,unimpaired,1,0,1,1,61.3900,0.6362,3306.2277,1.000,3306.2277
Site 1522,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-190742,OPT2,yes,4740,2020-09-10T07:00,5785,2020-09-11T00:25,1045.0,11789.21,9694.11,51.33,299.55,4948.8867,244.6583,4948.8867,23.4333,21,1,0,1.000,1.000,SHELTERED,11787.94,1.27,0,B_placement_optimized,1.3674,21,18-24,MALE,0,unimpaired,1,0,1,1,61.2382,0.6351,3265.9258,1.000,3265.9258
Site 1523,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-130162,OPT2,yes,4740,2020-09-10T07:00,5788,2020-09-11T00:28,1048.0,16511.79,14330.94,51.45,299.55,4963.2092,386.5342,4963.2092,23.4833,33,0,1,1.000,1.000,SHELTERED,16424.77,87.02,0,B_placement_optimized,1.2175,33,25-54,MALE,0,unimpaired,0,1,1,1,62.6490,0.6494,3417.9571,1.000,3417.9571
