agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 322,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-149707,,no,4740,2020-09-10T07:00,,,,20706.23,12051.74,173.09,562.70,54002.8192,727.0400,54002.8192,194.0000,44,1,0,1.000,1.000,REFUSED_ALL_FULL,20621.10,85.13,1,A_current_placement,1.2662,44,25-54,FEMALE,0,unimpaired,1,0,1,1
Site 323,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-112633,,no,4740,2020-09-10T07:00,,,,21627.13,12982.09,173.09,562.70,54002.8192,986.8133,54002.8192,194.0000,56,0,0,1.000,1.000,REFUSED_ALL_FULL,21551.45,75.68,1,A_current_placement,0.9762,56,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 324,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109733,,no,4740,2020-09-10T07:00,,,,18886.82,10283.96,173.09,562.70,54002.8192,694.5958,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,18853.32,33.50,1,A_current_placement,1.2556,29,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 325,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-222276,,no,4740,2020-09-10T07:00,,,,14250.49,5626.74,173.09,562.70,54002.8192,519.9067,54002.8192,194.0000,28,0,0,1.000,1.000,REFUSED_ALL_FULL,14196.10,54.39,1,A_current_placement,1.4884,28,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 326,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-123927,,no,4740,2020-09-10T07:00,,,,11696.69,3068.42,173.09,562.70,54002.8192,536.7517,54002.8192,194.0000,21,0,0,1.000,1.000,REFUSED_ALL_FULL,11637.78,58.91,1,A_current_placement,1.3621,21,18-24,FEMALE,0,unimpaired,0,0,0,0
Site 327,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-130115,CJ,yes,4740,2020-09-10T07:00,5840,2020-09-11T01:20,1100.0,17757.60,9187.01,53.53,299.55,5209.9258,470.2042,5209.9258,24.3500,53,0,0,1.000,1.000,SHELTERED,17756.37,1.24,0,A_current_placement,1.7710,53,25-54,MALE,0,unimpaired,0,0,0,0
Site 328,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-102196,,no,4740,2020-09-10T07:00,,,,11946.13,3360.18,173.09,562.70,54002.8192,681.4533,54002.8192,194.0000,29,1,1,1.000,1.000,REFUSED_ALL_FULL,11929.54,16.59,1,A_current_placement,1.0764,29,25-54,MALE,0,unimpaired,1,1,1,1
Site 329,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-201620,,no,4740,2020-09-10T07:00,,,,14123.02,5552.37,173.09,562.70,54002.8192,668.9683,54002.8192,194.0000,37,0,0,1.000,1.000,REFUSED_ALL_FULL,14121.73,1.29,1,A_current_placement,1.1600,37,25-54,OTHER,0,unimpaired,0,0,0,0
Site 330,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-140143,,no,4740,2020-09-10T07:00,,,,11391.42,2806.06,173.09,562.70,54002.8192,1593.8092,54002.8192,194.0000,49,0,0,1.000,1.000,REFUSED_ALL_FULL,11375.42,16.00,1,A_current_placement,0.4376,49,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 331,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-145307,,no,4740,2020-09-10T07:00,,,,15545.10,6840.31,173.09,562.70,54002.8192,614.5567,54002.8192,194.0000,51,0,0,1.000,1.000,REFUSED_ALL_FULL,15409.67,135.43,1,A_current_placement,1.3011,51,25-54,FEMALE,0,unimpaired,0,0,0,0
