agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 1571,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-119679,CJ,yes,4740,2020-09-10T07:00,5901,2020-09-11T02:21,1161.0,20063.86,11493.21,55.88,299.55,5495.3200,905.7383,5495.3200,25.3667,62,0,0,1.000,1.000,SHELTERED,20062.57,1.29,0,A_placement_current,1.0085,62,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1,65.5653,0.6667,4266.9409,1.000,4266.9409
Site 1572,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-201677,CJ,yes,4740,2020-09-10T07:00,5857,2020-09-11T01:37,1117.0,17656.80,8882.10,54.19,299.55,5289.8400,568.9742,5289.8400,24.6333,32,1,0,1.000,1.000,SHELTERED,17451.46,205.34,0,A_placement_current,1.4587,32,25-54,MALE,0,unimpaired,1,0,1,1,62.9297,0.6447,3801.4663,1.000,3801.4663
Site 1573,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-145259,OCC,yes,4740,2020-09-10T07:00,4772,2020-09-10T07:32,32.0,2761.64,2734.10,17.43,112.10,1385.9708,31.8667,1385.9708,6.5500,35,0,0,1.000,1.000,SHELTERED,2734.10,27.53,0,A_placement_current,1.3956,35,25-54,MALE,0,unimpaired,0,0,0,0,49.0540,0.6168,877.6275,1.000,877.6275
Site 1574,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-156067,OCC,yes,4740,2020-09-10T07:00,4796,2020-09-10T07:56,56.0,4738.27,4712.59,17.64,112.10,1409.8708,55.7667,1409.8708,6.9500,22,0,0,1.000,1.000,SHELTERED,4712.59,25.68,0,A_placement_current,1.4083,22,18-24,OTHER,0,unimpaired,0,0,0,0,49.7020,0.6218,916.3455,1.000,916.3455
Site 1575,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-212498,CJ,yes,4740,2020-09-10T07:00,5873,2020-09-11T01:53,1133.0,18584.78,10014.16,54.81,299.55,5365.0533,685.0500,5365.0533,24.9000,47,0,0,1.000,1.000,SHELTERED,18583.52,1.26,0,A_placement_current,1.2538,47,25-54,MALE,0,unimpaired,0,0,0,0,63.8667,0.6525,3964.5830,1.000,3964.5830
Site 1576,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-112779,CJ,yes,4740,2020-09-10T07:00,5872,2020-09-11T01:52,1132.0,19495.64,10925.00,54.77,299.55,5360.3525,696.4992,5360.3525,24.8833,55,0,0,1.000,1.000,SHELTERED,19494.36,1.28,0,A_placement_current,1.2717,55,55-69,FEMALE,0,unimpaired,0,0,0,1,64.0080,0.6540,3973.2792,1.000,3973.2792
Site 1577,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-144968,CJ,yes,4740,2020-09-10T07:00,5900,2020-09-11T02:20,1160.0,18253.96,9683.35,55.84,299.55,5490.6808,851.0525,5490.6808,25.3500,35,0,1,1.000,1.000,SHELTERED,18252.71,1.24,0,A_placement_current,1.0172,35,25-54,MALE,0,unimpaired,0,1,1,1,65.0165,0.6612,4208.8783,1.000,4208.8783
Site 1578,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-221931,CJ,yes,4740,2020-09-10T07:00,5854,2020-09-11T01:34,1114.0,21444.03,12846.29,54.07,299.55,5275.7375,608.6542,5275.7375,24.5833,52,1,0,1.000,1.000,SHELTERED,21415.65,28.39,0,A_placement_current,1.5156,52,25-54,MALE,0,unimpaired,1,0,1,1,63.4883,0.6507,3832.9406,1.000,3832.9406
Site 1579,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-156389,CJ,yes,4740,2020-09-10T07:00,5866,2020-09-11T01:46,1126.0,19528.12,10957.53,54.54,299.55,5332.1475,655.3742,5332.1475,24.7833,40,0,0,1.000,1.000,SHELTERED,19526.89,1.23,0,A_placement_current,1.3469,40,25-54,FEMALE,0,unimpaired,0,0,0,0,63.7113,0.6517,3914.5379,1.000,3914.5379
Site 1580,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-221912,OCC,yes,4740,2020-09-10T07:00,4767,2020-09-10T07:27,27.0,2385.62,2384.33,17.38,112.10,1380.9917,26.8875,1380.9917,6.4667,45,0,0,1.000,1.000,SHELTERED,2384.33,1.29,0,A_placement_current,1.4690,45,25-54,MALE,0,unimpaired,0,0,0,0,48.9190,0.6157,869.5613,1.000,869.5613
Site 1581,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-178902,CJ,yes,4740,2020-09-10T07:00,5894,2020-09-11T02:14,1154.0,23606.68,15036.06,55.61,299.55,5462.8458,949.0908,5462.8458,25.2500,23,0,0,1.000,1.000,SHELTERED,23605.42,1.26,0,A_placement_current,1.0588,23,18-24,MALE,1,ambulant_impaired_no_aid,0,0,0,1,66.1675,0.6736,4290.9177,1.000,4290.9177
Site 1582,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-109744,OCC,yes,4740,2020-09-10T07:00,4772,2020-09-10T07:32,32.0,2558.78,2533.11,17.43,112.10,1385.9708,31.8667,1385.9708,6.5500,39,0,0,1.000,1.000,SHELTERED,2533.11,25.68,0,A_placement_current,1.3220,39,25-54,MALE,0,unimpaired,0,0,0,0,49.0540,0.6168,877.6275,1.000,877.6275
Site 1583,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-178726,OCC,yes,4740,2020-09-10T07:00,4776,2020-09-10T07:36,36.0,3161.77,2992.84,17.46,112.10,1389.9542,35.8500,1389.9542,6.6167,43,0,0,1.000,1.000,SHELTERED,2992.84,168.93,0,A_placement_current,1.4593,43,25-54,MALE,0,unimpaired,0,0,0,0,49.1620,0.6176,884.0805,1.000,884.0805
Site 1584,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-140230,CJ,yes,4740,2020-09-10T07:00,5988,2020-09-11T03:48,1248.0,20493.05,11862.22,59.05,299.55,5893.2517,1519.1733,5893.2517,26.8167,37,1,1,1.000,1.000,SHELTERED,20431.58,61.46,0,A_placement_current,0.6249,37,25-54,MALE,1,ambulant_impaired_no_aid,1,1,1,1,70.0858,0.7023,5129.2486,1.000,5129.2486
Site 1585,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,26-119253,OCC,yes,4740,2020-09-10T07:00,4810,2020-09-10T08:10,70.0,5068.86,5054.42,17.78,112.10,1425.0592,70.9550,1425.0592,7.1833,38,0,0,1.000,1.000,SHELTERED,5054.42,14.44,0,A_placement_current,1.2059,38,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,50.0800,0.6247,940.9506,1.000,940.9506
Site 1586,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-221989,OCC,yes,4740,2020-09-10T07:00,4754,2020-09-10T07:14,14.0,1529.80,1498.75,17.27,112.10,1368.0458,13.9417,1368.0458,6.2500,37,0,0,1.000,1.000,SHELTERED,1498.75,31.05,0,A_placement_current,1.7052,37,25-54,FEMALE,0,unimpaired,0,0,0,0,48.5680,0.6130,848.5890,1.000,848.5890
Site 1587,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-102171,CJ,yes,4740,2020-09-10T07:00,5852,2020-09-11T01:32,1112.0,22159.48,13566.90,54.00,299.55,5266.3358,607.3275,5266.3358,24.5500,21,0,0,1.000,1.000,SHELTERED,22136.26,23.23,0,A_placement_current,1.5509,21,18-24,MALE,0,unimpaired,0,0,0,0,63.5185,0.6512,3825.8656,1.000,3825.8656
Site 1588,sim-20260726-011310-seed43,02c3181139f28f198bf64170b7a588152b9fa637,43,9308e3f21ffc,25-190566,OCC,yes,4740,2020-09-10T07:00,4755,2020-09-10T07:15,15.0,1291.36,1266.37,17.27,112.10,1369.0417,14.9375,1369.0417,6.2667,22,0,0,1.000,1.000,SHELTERED,1266.37,24.99,0,A_placement_current,1.3858,22,18-24,FEMALE,0,unimpaired,0,0,0,0,48.5950,0.6132,850.2023,1.000,850.2023
