Agent ID,Scenario,Seed,Starting location (encampment ID),Shelter reached,Reached shelter?,Travel time (minutes),Travel distance (metres),Average PM2.5 (ug/m3),Peak PM2.5 (ug/m3),Cumulative PM2.5 dose (ug/m3 x hours),Exposure burden index (ug/m3 x hours),Inhaled PM2.5 dose (micrograms),Health risk score,Walking speed (m/s),Age group,Mobility limitation,Asthma,COPD,Final state
Site 1963,A_placement_current,42,25-156603,OCC,yes,3.0,292.0,17.17,112.1,1357.0,1357.0,831.0,831.0,1.299,25-54,no,no,no,Reached shelter
Site 1983,A_placement_current,42,25-156690,OCC,yes,5.0,407.0,17.19,112.1,1359.0,1359.0,834.0,834.0,1.336,55-69,no,no,no,Reached shelter
Site 680,A_placement_current,42,25-102148,OCC,yes,6.0,761.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.898,25-54,no,no,no,Reached shelter
Site 852,A_placement_current,42,25-112923,OCC,yes,6.0,570.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.377,25-54,no,no,no,Reached shelter
Site 1125,A_placement_current,42,25-123958,OCC,yes,6.0,703.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.794,25-54,no,no,no,Reached shelter
Site 1457,A_placement_current,42,25-112923,OCC,yes,6.0,570.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.443,25-54,no,no,no,Reached shelter
Site 1720,A_placement_current,42,25-123734,OCC,yes,6.0,503.0,17.19,112.1,1360.0,1360.0,836.0,836.0,1.278,25-54,no,no,no,Reached shelter
Site 54,A_placement_current,42,25-123958,OCC,yes,7.0,703.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.5,25-54,no,no,no,Reached shelter
Site 664,A_placement_current,42,25-123840,OCC,yes,7.0,642.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.36,25-54,no,no,no,Reached shelter
Site 877,A_placement_current,42,25-134358,OCC,yes,7.0,530.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.154,55-69,no,no,no,Reached shelter
Site 973,A_placement_current,42,25-221992,OCC,yes,7.0,587.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.232,25-54,no,no,no,Reached shelter
Site 989,A_placement_current,42,26-119618,OCC,yes,7.0,594.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.38,25-54,no,no,no,Reached shelter
Site 1382,A_placement_current,42,26-109601,OCC,yes,7.0,595.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.371,25-54,no,no,no,Reached shelter
Site 1681,A_placement_current,42,25-145000,OCC,yes,7.0,715.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.539,25-54,yes,no,no,Reached shelter
Site 1752,A_placement_current,42,25-123792,OCC,yes,7.0,593.0,17.2,112.1,1361.0,1361.0,837.0,837.0,1.323,25-54,no,yes,no,Reached shelter
Site 561,A_placement_current,42,25-112905,OCC,yes,8.0,706.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.389,25-54,no,no,no,Reached shelter
Site 562,A_placement_current,42,25-102148,OCC,yes,8.0,761.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.535,25-54,no,no,no,Reached shelter
Site 806,A_placement_current,42,25-112600,OCC,yes,8.0,646.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.259,25-54,no,no,no,Reached shelter
Site 889,A_placement_current,42,25-112673,OCC,yes,8.0,558.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.152,55-69,no,no,no,Reached shelter
Site 1029,A_placement_current,42,26-130246,OCC,yes,8.0,820.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.703,25-54,no,no,no,Reached shelter
Site 1500,A_placement_current,42,25-145300,OCC,yes,8.0,623.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.276,55-69,no,no,no,Reached shelter
Site 1700,A_placement_current,42,25-102519,OCC,yes,8.0,634.0,17.21,112.1,1362.0,1362.0,839.0,839.0,1.203,25-54,no,no,no,Reached shelter
Site 265,A_placement_current,42,25-178762,OCC,yes,9.0,900.0,17.22,112.1,1363.0,1363.0,841.0,841.0,1.666,55-69,no,no,no,Reached shelter
Site 532,A_placement_current,42,25-190510,OCC,yes,9.0,819.0,17.22,112.1,1363.0,1363.0,841.0,841.0,1.491,25-54,no,no,no,Reached shelter
Site 983,A_placement_current,42,26-130246,OCC,yes,9.0,820.0,17.22,112.1,1363.0,1363.0,841.0,841.0,1.398,55-69,no,no,no,Reached shelter
Site 1863,A_placement_current,42,25-221992,OCC,yes,9.0,587.0,17.22,112.1,1363.0,1363.0,841.0,841.0,1.046,25-54,no,no,no,Reached shelter
Site 28,A_placement_current,42,25-112538,OCC,yes,10.0,901.0,17.23,112.1,1364.0,1364.0,842.0,842.0,1.469,55-69,no,no,no,Reached shelter
Site 244,A_placement_current,42,25-178762,OCC,yes,10.0,900.0,17.23,112.1,1364.0,1364.0,842.0,842.0,1.394,25-54,no,no,no,Reached shelter
Site 1732,A_placement_current,42,25-112604,OCC,yes,10.0,637.0,17.23,112.1,1364.0,1364.0,842.0,842.0,0.979,25-54,yes,no,no,Reached shelter
Site 1736,A_placement_current,42,26-109621,OCC,yes,10.0,962.0,17.23,112.1,1364.0,1364.0,842.0,842.0,1.566,25-54,no,no,no,Reached shelter
Site 468,A_placement_current,42,25-201233,OCC,yes,11.0,1030.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.437,25-54,no,no,no,Reached shelter
Site 472,A_placement_current,42,26-119720,OCC,yes,11.0,906.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.336,55-69,no,no,no,Reached shelter
Site 676,A_placement_current,42,25-201738,OCC,yes,11.0,953.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.443,25-54,yes,no,no,Reached shelter
Site 803,A_placement_current,42,26-109574,OCC,yes,11.0,1001.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.4,25-54,no,no,no,Reached shelter
Site 1261,A_placement_current,42,25-212253,OCC,yes,11.0,953.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.384,18-24,no,no,no,Reached shelter
Site 1534,A_placement_current,42,25-156057,OCC,yes,11.0,1052.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.486,25-54,no,no,no,Reached shelter
Site 1599,A_placement_current,42,25-145506,OCC,yes,11.0,1063.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.51,25-54,no,yes,no,Reached shelter
Site 1626,A_placement_current,42,26-129834,OCC,yes,11.0,962.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.347,25-54,no,no,no,Reached shelter
Site 1741,A_placement_current,42,25-156642,OCC,yes,11.0,988.0,17.24,112.1,1365.0,1365.0,844.0,844.0,1.437,25-54,no,no,no,Reached shelter
Site 190,A_placement_current,42,25-222022,OCC,yes,12.0,1199.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.538,25-54,no,yes,no,Reached shelter
Site 303,A_placement_current,42,26-119720,OCC,yes,12.0,906.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.176,25-54,yes,no,no,Reached shelter
Site 339,A_placement_current,42,25-201336,OCC,yes,12.0,858.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.149,25-54,no,no,no,Reached shelter
Site 465,A_placement_current,42,25-178839,OCC,yes,12.0,1173.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.533,25-54,no,no,no,Reached shelter
Site 545,A_placement_current,42,25-201738,OCC,yes,12.0,953.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.265,18-24,no,no,no,Reached shelter
Site 628,A_placement_current,42,25-145303,OCC,yes,12.0,1523.0,17.25,112.1,1366.0,1366.0,845.0,845.0,2.018,55-69,no,no,no,Reached shelter
Site 991,A_placement_current,42,25-212163,OCC,yes,12.0,1220.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.68,25-54,no,no,no,Reached shelter
Site 1071,A_placement_current,42,25-123793,OCC,yes,12.0,1277.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.746,25-54,no,no,no,Reached shelter
Site 1197,A_placement_current,42,25-123959,OCC,yes,12.0,1239.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.605,55-69,no,no,no,Reached shelter
Site 1297,A_placement_current,42,25-102480,OCC,yes,12.0,1126.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.55,25-54,no,no,no,Reached shelter
Site 1330,A_placement_current,42,25-102513,OCC,yes,12.0,1125.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.462,25-54,no,no,no,Reached shelter
Site 1439,A_placement_current,42,25-178717,OCC,yes,12.0,1205.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.553,25-54,no,no,no,Reached shelter
Site 1885,A_placement_current,42,25-201208,OCC,yes,12.0,1267.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.704,25-54,no,yes,no,Reached shelter
Site 1901,A_placement_current,42,26-149838,OCC,yes,12.0,1056.0,17.25,112.1,1366.0,1366.0,845.0,845.0,1.365,70+,no,no,no,Reached shelter
Site 138,A_placement_current,42,25-201599,OCC,yes,13.0,1066.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.364,55-69,no,no,no,Reached shelter
Site 580,A_placement_current,42,25-123869,OCC,yes,13.0,1163.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.487,25-54,no,no,no,Reached shelter
Site 604,A_placement_current,42,25-221975,OCC,yes,13.0,958.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.178,25-54,no,yes,no,Reached shelter
Site 643,A_placement_current,42,25-112905,OCC,yes,13.0,706.0,17.26,112.1,1367.0,1367.0,847.0,847.0,0.872,25-54,no,no,yes,Reached shelter
Site 858,A_placement_current,42,25-178839,OCC,yes,13.0,1173.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.444,25-54,no,no,no,Reached shelter
Site 861,A_placement_current,42,25-123736,OCC,yes,13.0,1204.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.523,25-54,no,no,no,Reached shelter
Site 870,A_placement_current,42,26-150000,OCC,yes,13.0,944.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.209,55-69,yes,no,no,Reached shelter
Site 1146,A_placement_current,42,25-201723,OCC,yes,13.0,1171.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.407,25-54,no,no,no,Reached shelter
Site 1654,A_placement_current,42,25-145506,OCC,yes,13.0,1063.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.332,25-54,no,no,no,Reached shelter
Site 1811,A_placement_current,42,25-212115,OCC,yes,13.0,1109.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.321,25-54,no,yes,no,Reached shelter
Site 1948,A_placement_current,42,25-178954,OCC,yes,13.0,1069.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.273,25-54,no,no,no,Reached shelter
Site 1966,A_placement_current,42,26-109609,OCC,yes,13.0,1029.0,17.26,112.1,1367.0,1367.0,847.0,847.0,1.256,18-24,no,no,no,Reached shelter
Site 31,A_placement_current,42,25-212115,OCC,yes,14.0,1109.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.318,25-54,no,no,no,Reached shelter
Site 316,A_placement_current,42,25-178753,OCC,yes,14.0,1280.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.433,25-54,no,no,no,Reached shelter
Site 322,A_placement_current,42,25-179113,OCC,yes,14.0,1059.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.198,25-54,no,no,no,Reached shelter
Site 358,A_placement_current,42,25-212286,OCC,yes,14.0,1303.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.534,25-54,no,no,no,Reached shelter
Site 461,A_placement_current,42,25-190613,OCC,yes,14.0,1071.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.191,25-54,yes,no,no,Reached shelter
Site 540,A_placement_current,42,26-130096,OCC,yes,14.0,1152.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.323,25-54,no,no,no,Reached shelter
Site 665,A_placement_current,42,26-129941,OCC,yes,14.0,1443.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.615,25-54,no,no,no,Reached shelter
Site 683,A_placement_current,42,25-221975,OCC,yes,14.0,958.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.078,25-54,yes,no,no,Reached shelter
Site 797,A_placement_current,42,25-123684,OCC,yes,14.0,1085.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.277,25-54,no,no,no,Reached shelter
Site 1117,A_placement_current,42,25-221983,OCC,yes,14.0,1055.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.25,25-54,yes,no,no,Reached shelter
Site 1122,A_placement_current,42,26-109697,OCC,yes,14.0,1409.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.635,18-24,no,no,no,Reached shelter
Site 1175,A_placement_current,42,25-201641,OCC,yes,14.0,1418.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.633,25-54,no,no,no,Reached shelter
Site 1299,A_placement_current,42,25-102209,OCC,yes,14.0,1268.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.508,25-54,no,no,no,Reached shelter
Site 1484,A_placement_current,42,25-167622,OCC,yes,14.0,1276.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.436,25-54,no,no,no,Reached shelter
Site 1698,A_placement_current,42,26-149639,OCC,yes,14.0,907.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.07,25-54,no,no,yes,Reached shelter
Site 1747,A_placement_current,42,26-130154,OCC,yes,14.0,1221.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.387,25-54,no,no,no,Reached shelter
Site 1853,A_placement_current,42,26-129897,OCC,yes,14.0,1471.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.646,25-54,no,no,no,Reached shelter
Site 2024,A_placement_current,42,25-201614,OCC,yes,14.0,1443.0,17.27,112.1,1368.0,1368.0,849.0,849.0,1.704,18-24,no,no,no,Reached shelter
Site 63,A_placement_current,42,26-140427,OCC,yes,15.0,1295.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.416,25-54,no,no,no,Reached shelter
Site 107,A_placement_current,42,25-123869,OCC,yes,15.0,1163.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.216,18-24,no,no,yes,Reached shelter
Site 351,A_placement_current,42,25-123681,OCC,yes,15.0,1160.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.237,25-54,no,yes,yes,Reached shelter
Site 412,A_placement_current,42,25-167641,OCC,yes,15.0,1306.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.367,25-54,no,no,no,Reached shelter
Site 637,A_placement_current,42,25-112674,OCC,yes,15.0,1373.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.434,25-54,no,no,no,Reached shelter
Site 666,A_placement_current,42,25-156639,OCC,yes,15.0,1161.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.278,25-54,no,no,no,Reached shelter
Site 783,A_placement_current,42,25-201737,OCC,yes,15.0,1030.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.074,55-69,no,no,yes,Reached shelter
Site 867,A_placement_current,42,25-190504,OCC,yes,15.0,1059.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.163,25-54,no,no,no,Reached shelter
Site 1256,A_placement_current,42,26-129941,OCC,yes,15.0,1443.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.566,55-69,no,yes,no,Reached shelter
Site 1389,A_placement_current,42,26-140194,OCC,yes,15.0,1411.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.544,25-54,no,no,no,Reached shelter
Site 1390,A_placement_current,42,25-190561,OCC,yes,15.0,1300.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.381,25-54,no,no,no,Reached shelter
Site 1404,A_placement_current,42,26-119634,OCC,yes,15.0,1258.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.332,25-54,no,no,no,Reached shelter
Site 1592,A_placement_current,42,26-130216,OCC,yes,15.0,1511.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.593,25-54,yes,no,no,Reached shelter
Site 1755,A_placement_current,42,25-123793,OCC,yes,15.0,1277.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.357,70+,no,no,no,Reached shelter
Site 1951,A_placement_current,42,25-102480,OCC,yes,15.0,1126.0,17.27,112.1,1369.0,1369.0,850.0,850.0,1.248,25-54,no,no,no,Reached shelter
Site 262,A_placement_current,42,25-123849,OCC,yes,16.0,1305.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.336,25-54,no,yes,yes,Reached shelter
Site 349,A_placement_current,42,26-109645,OCC,yes,16.0,1427.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.422,25-54,no,yes,no,Reached shelter
Site 417,A_placement_current,42,25-201222,OCC,yes,16.0,1283.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.305,25-54,no,no,yes,Reached shelter
Site 586,A_placement_current,42,25-190357,OCC,yes,16.0,1483.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.494,55-69,no,no,no,Reached shelter
Site 597,A_placement_current,42,26-149630,OCC,yes,16.0,1622.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.641,25-54,no,no,no,Reached shelter
Site 912,A_placement_current,42,25-156057,OCC,yes,16.0,1052.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.044,18-24,no,no,no,Reached shelter
Site 977,A_placement_current,42,25-102209,OCC,yes,16.0,1268.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.292,25-54,no,no,no,Reached shelter
Site 1129,A_placement_current,42,26-129816,OCC,yes,16.0,1591.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.594,25-54,no,no,no,Reached shelter
Site 1210,A_placement_current,42,25-201737,OCC,yes,16.0,1030.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.059,25-54,no,yes,no,Reached shelter
Site 1231,A_placement_current,42,25-156639,OCC,yes,16.0,1161.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.204,25-54,no,no,no,Reached shelter
Site 1268,A_placement_current,42,25-178937,OCC,yes,16.0,1512.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.552,18-24,no,no,no,Reached shelter
Site 1317,A_placement_current,42,25-167983,OCC,yes,16.0,1139.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.178,25-54,no,no,no,Reached shelter
Site 1364,A_placement_current,42,25-179288,OCC,yes,16.0,1408.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.404,25-54,no,no,no,Reached shelter
Site 1585,A_placement_current,42,26-149683,OCC,yes,16.0,1600.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.623,25-54,no,no,no,Reached shelter
Site 1716,A_placement_current,42,25-112711,OCC,yes,16.0,978.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.006,55-69,no,no,yes,Reached shelter
Site 1795,A_placement_current,42,25-201209,OCC,yes,16.0,1479.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.498,55-69,no,no,no,Reached shelter
Site 1878,A_placement_current,42,25-134454,OCC,yes,16.0,1546.0,17.28,112.1,1370.0,1370.0,852.0,852.0,1.61,25-54,no,no,no,Reached shelter
Site 68,A_placement_current,42,26-109349,OCC,yes,17.0,1204.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.156,25-54,no,no,no,Reached shelter
Site 160,A_placement_current,42,26-119763,OCC,yes,17.0,1498.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.453,18-24,no,no,no,Reached shelter
Site 266,A_placement_current,42,25-124009,OCC,yes,17.0,1532.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.455,25-54,no,no,no,Reached shelter
Site 438,A_placement_current,42,26-149630,OCC,yes,17.0,1622.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.569,25-54,no,no,no,Reached shelter
Site 490,A_placement_current,42,25-201209,OCC,yes,17.0,1479.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.416,25-54,no,no,no,Reached shelter
Site 708,A_placement_current,42,25-201227,OCC,yes,17.0,1461.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.357,25-54,no,no,no,Reached shelter
Site 756,A_placement_current,42,26-109654,OCC,yes,17.0,1571.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.528,25-54,no,no,no,Reached shelter
Site 801,A_placement_current,42,25-156106,OCC,yes,17.0,1316.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.226,25-54,no,no,no,Reached shelter
Site 893,A_placement_current,42,26-149630,OCC,yes,17.0,1622.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.571,25-54,no,yes,no,Reached shelter
Site 1318,A_placement_current,42,25-134359,OCC,yes,17.0,1207.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.143,25-54,no,yes,no,Reached shelter
Site 1566,A_placement_current,42,26-119763,OCC,yes,17.0,1498.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.462,25-54,no,no,no,Reached shelter
Site 1800,A_placement_current,42,26-130094,OCC,yes,17.0,1650.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.56,25-54,no,no,no,Reached shelter
Site 1828,A_placement_current,42,25-134247,OCC,yes,17.0,1611.0,17.29,112.1,1371.0,1371.0,853.0,853.0,1.544,25-54,no,no,no,Reached shelter
Site 72,A_placement_current,42,26-140605,OCC,yes,18.0,1500.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.319,25-54,yes,no,no,Reached shelter
Site 513,A_placement_current,42,25-201701,OCC,yes,18.0,1503.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.368,18-24,no,no,no,Reached shelter
Site 538,A_placement_current,42,26-140274,OCC,yes,18.0,1990.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.814,25-54,no,no,no,Reached shelter
Site 685,A_placement_current,42,25-212253,OCC,yes,18.0,953.0,17.3,112.1,1372.0,1372.0,855.0,855.0,0.87,25-54,yes,yes,no,Reached shelter
Site 890,A_placement_current,42,26-109489,OCC,yes,18.0,1699.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.54,55-69,no,no,no,Reached shelter
Site 1005,A_placement_current,42,25-201727,OCC,yes,18.0,1401.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.268,25-54,no,no,no,Reached shelter
Site 1010,A_placement_current,42,25-178707,OCC,yes,18.0,1715.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.519,25-54,no,no,no,Reached shelter
Site 1120,A_placement_current,42,25-201421,OCC,yes,18.0,1637.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.468,25-54,no,no,no,Reached shelter
Site 1200,A_placement_current,42,25-123868,OCC,yes,18.0,1422.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.282,25-54,no,no,no,Reached shelter
Site 1217,A_placement_current,42,26-129816,OCC,yes,18.0,1591.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.459,25-54,no,no,no,Reached shelter
Site 1247,A_placement_current,42,26-150066,OCC,yes,18.0,1362.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.201,25-54,yes,no,no,Reached shelter
Site 1345,A_placement_current,42,25-190354,OCC,yes,18.0,1304.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.169,25-54,no,no,yes,Reached shelter
Site 1453,A_placement_current,42,26-140194,OCC,yes,18.0,1411.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.248,25-54,no,no,no,Reached shelter
Site 1519,A_placement_current,42,25-201691,OCC,yes,18.0,1453.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.335,55-69,no,no,no,Reached shelter
Site 1611,A_placement_current,42,25-167843,OCC,yes,18.0,1424.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.286,25-54,no,no,no,Reached shelter
Site 1632,A_placement_current,42,25-190452,OCC,yes,18.0,1304.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.18,25-54,no,no,no,Reached shelter
Site 1927,A_placement_current,42,26-109490,OCC,yes,18.0,1649.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.49,25-54,no,no,yes,Reached shelter
Site 1946,A_placement_current,42,25-156486,OCC,yes,18.0,1551.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.412,25-54,no,no,no,Reached shelter
Site 1982,A_placement_current,42,25-167931,OCC,yes,18.0,1379.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.271,55-69,no,no,no,Reached shelter
Site 1985,A_placement_current,42,26-119586,OCC,yes,18.0,806.0,17.3,112.1,1372.0,1372.0,855.0,855.0,0.721,25-54,yes,no,no,Reached shelter
Site 2021,A_placement_current,42,25-190339,OCC,yes,18.0,1459.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.35,25-54,no,no,no,Reached shelter
Site 2033,A_placement_current,42,25-123849,OCC,yes,18.0,1305.0,17.3,112.1,1372.0,1372.0,855.0,855.0,1.181,18-24,no,no,no,Reached shelter
Site 79,A_placement_current,42,25-145014,OCC,yes,19.0,1636.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.407,55-69,no,no,no,Reached shelter
Site 94,A_placement_current,42,26-150121,OCC,yes,19.0,1885.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.633,25-54,no,yes,no,Reached shelter
Site 174,A_placement_current,42,25-102189,OCC,yes,19.0,1509.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.308,25-54,no,no,no,Reached shelter
Site 242,A_placement_current,42,25-102133,OCC,yes,19.0,1544.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.312,25-54,no,no,no,Reached shelter
Site 371,A_placement_current,42,25-190338,OCC,yes,19.0,1417.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.224,55-69,no,no,no,Reached shelter
Site 403,A_placement_current,42,26-130083,OCC,yes,19.0,1618.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.414,25-54,no,no,no,Reached shelter
Site 557,A_placement_current,42,25-112702,OCC,yes,19.0,1702.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.446,25-54,no,yes,no,Reached shelter
Site 656,A_placement_current,42,25-112989,OCC,yes,19.0,1385.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.21,25-54,no,no,yes,Reached shelter
Site 876,A_placement_current,42,26-119373,OCC,yes,19.0,989.0,17.31,112.1,1373.0,1373.0,857.0,857.0,0.825,25-54,yes,no,no,Reached shelter
Site 891,A_placement_current,42,25-156218,OCC,yes,19.0,1188.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.032,25-54,no,yes,yes,Reached shelter
Site 950,A_placement_current,42,25-167556,OCC,yes,19.0,1629.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.395,55-69,no,no,no,Reached shelter
Site 961,A_placement_current,42,26-130094,OCC,yes,19.0,1650.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.382,25-54,no,no,no,Reached shelter
Site 1015,A_placement_current,42,25-112606,OCC,yes,19.0,1884.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.603,25-54,no,no,no,Reached shelter
Site 1139,A_placement_current,42,26-119311,OCC,yes,19.0,1763.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.514,25-54,no,no,no,Reached shelter
Site 1340,A_placement_current,42,25-145208,OCC,yes,19.0,1725.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.455,25-54,no,no,no,Reached shelter
Site 1691,A_placement_current,42,25-134394,OCC,yes,19.0,1534.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.337,25-54,no,no,no,Reached shelter
Site 1727,A_placement_current,42,25-178805,OCC,yes,19.0,1899.0,17.31,112.1,1373.0,1373.0,857.0,857.0,1.638,25-54,no,no,no,Reached shelter
