shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted,policy_refused
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,132,true,3,3,9,0.0227,3072.04,9
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,262,true,1,1,0,0.0038,2467.97,0
Clark_Center,Clark Center,-122.661942,45.512502,135,true,41,41,18,0.3037,848.82,18
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,135,true,0,0,0,0.0000,,0
Jeans_Place,Jean's Place,-122.654323,45.523278,90,true,29,29,24,0.3222,748.88,24
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,180,true,96,96,0,0.5333,5549.73,0
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,150,true,58,58,0,0.3867,10230.04,0
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,108,true,38,38,0,0.3519,5995.22,0
Willamette_Center,Willamette Center,-122.649327,45.485729,195,true,68,68,0,0.3487,1865.86,0
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,108,true,50,50,7,0.4630,1125.05,7
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,114,true,4,4,9,0.0351,579.95,9
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,225,true,17,17,14,0.0756,1831.22,14
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,78,true,0,0,0,0.0000,,0
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,81,true,2,2,0,0.0247,23505.93,0
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,32,true,0,0,9,0.0000,,9
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,30,true,0,0,9,0.0000,,9
Avalon_Village,Avalon Village,-122.647011,45.504545,16,true,0,0,0,0.0000,,0
Beacon_Village,Beacon Village,-122.585163,45.527605,16,true,0,0,0,0.0000,,0
Dignity_Village,Dignity Village,-122.635880,45.590779,99,true,2,2,0,0.0202,3398.57,0
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,63,true,10,10,10,0.1587,1095.60,10
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,32,true,0,0,9,0.0000,,9
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,48,true,18,18,10,0.3750,841.97,10
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,16,true,2,2,1,0.1250,2018.41,1
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,16,true,0,0,8,0.0000,,8
St_Johns_Village,St Johns Village,-122.750203,45.590193,32,true,23,23,8,0.7188,1243.97,8
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,190,true,45,45,37,0.2368,1158.00,37
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,45,true,0,0,0,0.0000,,0
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,45,true,0,0,0,0.0000,,0
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,50,true,0,0,1,0.0000,,1
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,92,true,3,3,0,0.0326,2786.29,0
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,99,true,20,20,9,0.2020,1255.89,9
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,63,true,25,25,2,0.3968,729.45,2
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,57,true,0,0,40,0.0000,,40
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,135,true,0,0,21,0.0000,,21
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,82,true,49,49,10,0.5976,1890.73,10
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,99,true,16,16,0,0.1616,1187.55,0
NEW_optimized_site_01,Proposed clean-air shelter 1 (optimized location),-122.684239,45.525066,350,true,71,71,54,0.2029,980.71,54
NEW_optimized_site_02,Proposed clean-air shelter 2 (optimized location),-122.674314,45.514205,350,true,19,19,54,0.0543,825.51,54
NEW_optimized_site_03,Proposed clean-air shelter 3 (optimized location),-122.685357,45.536118,349,true,56,56,40,0.1605,1395.14,40
NEW_optimized_site_04,Proposed clean-air shelter 4 (optimized location),-122.544555,45.489718,349,true,102,102,23,0.2923,2941.30,23
NEW_optimized_site_05,Proposed clean-air shelter 5 (optimized location),-122.574416,45.540881,349,true,64,64,14,0.1834,2462.90,14
NEW_optimized_site_06,Proposed clean-air shelter 6 (optimized location),-122.686929,45.585790,349,true,38,38,9,0.1089,1949.37,9
NEW_optimized_site_07,Proposed clean-air shelter 7 (optimized location),-122.675258,45.500394,349,true,48,48,49,0.1375,3045.13,49
NEW_optimized_site_08,Proposed clean-air shelter 8 (optimized location),-122.571918,45.465833,349,true,73,73,7,0.2092,1871.86,7
NEW_optimized_site_09,Proposed clean-air shelter 9 (optimized location),-122.543241,45.555387,349,true,54,54,14,0.1547,2698.98,14
NEW_optimized_site_10,Proposed clean-air shelter 10 (optimized location),-122.673484,45.519995,349,true,81,81,54,0.2321,1426.75,54
