shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence
OPT1,"Optimized site 1 (theoretical, street node 49392)",,,,,-122.673500,45.525975,1019,placement_experiment_system_capacity_equals_population,2020-09-10,2020-09-19,operating,p_median_optimization_over_rlis_street_graph,theoretical_site_not_a_real_facility
OPT2,"Optimized site 2 (theoretical, street node 52835)",,,,,-122.655673,45.519355,1018,placement_experiment_system_capacity_equals_population,2020-09-11,2020-09-19,operating,p_median_optimization_over_rlis_street_graph,theoretical_site_not_a_real_facility
