shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit
Jeans_Place,Jean's Place,18 NE 11th Ave,Portland,OR,,-122.678460,45.471261,184,SCENARIO_B_capacity_expansion_60x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,congregate,Transition Projects,,0,60,beds
Menlo_Park_SRV,Menlo Park Safe Rest Village,NE 122nd Ave & E Burnside St,Portland,OR,,-122.563081,45.561364,168,SCENARIO_B_capacity_expansion_55x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,City of Portland,,0,50,units
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,18323 SE Stark St,Gresham,OR,,-122.679775,45.502990,165,SCENARIO_B_capacity_expansion_54x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Do Good Multnomah,,0,43,rooms
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,121 NE 181st Ave,Gresham,OR,,-122.560499,45.563175,159,SCENARIO_B_capacity_expansion_52x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Transition Projects,,0,42,rooms
Harrison_Community_Villa,Harrison Community Village,1818 SE 82nd Ave,Portland,OR,,-122.681903,45.502294,129,SCENARIO_B_capacity_expansion_42x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,Do Good Multnomah,,0,38,units
BIPOC_SRV,BIPOC Safe Rest Village,84 NE Weidler St,Portland,OR,,-122.578550,45.559880,129,SCENARIO_B_capacity_expansion_42x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,City of Portland,,0,38,units
Queer_Affinity_Village,Queer Affinity Safe Rest Village,2300 SW Naito Pkwy,Portland,OR,,-122.683123,45.604416,116,SCENARIO_B_capacity_expansion_38x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,City of Portland,,0,35,units
Behavioral_Health_Resour,Behavioral Health Resource Center,333 SW Park Ave,Portland,OR,,-122.550574,45.572563,101,SCENARIO_B_capacity_expansion_33x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,other,Do Good Multnomah,,0,33,beds
Oak_Street_Village,Oak Street Village,333 SE 82nd Ave,Portland,OR,,-122.681624,45.509202,98,SCENARIO_B_capacity_expansion_32x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,Straightway Services,,0,29,units
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,1635 SW Alder St,Portland,OR,,-122.581127,45.559140,92,SCENARIO_B_capacity_expansion_30x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,youth,Janus Youth Programs,,0,30,beds
Street_Light_Youth_Shelt,Street Light Youth Shelter,1635 SW Alder St,Portland,OR,,-122.679356,45.492386,92,SCENARIO_B_capacity_expansion_30x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,youth,Janus Youth Programs,,0,30,beds
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,8355 N Interstate Ave,Portland,OR,,-122.573348,45.561882,64,SCENARIO_B_capacity_expansion_21x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,motel,Do Good Multnomah,,1,17,rooms
Kenton_Womens_Village,Kenton Women's Village,2420 N Columbia Blvd,Portland,OR,,-122.554744,45.573950,64,SCENARIO_B_capacity_expansion_21x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,Catholic Charities of Oregon,,1,19,units
St_Johns_Village,St Johns Village,8005 N Richmond Ave,Portland,OR,,-122.678756,45.514533,64,SCENARIO_B_capacity_expansion_21x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,Do Good Multnomah,,0,19,units
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,1952 N Lombard St,Portland,OR,,-122.587379,45.562669,61,SCENARIO_B_capacity_expansion_20x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,Do Good Multnomah,,1,18,units
Avalon_Village,Avalon Village,2539 SE 19th Ave,Portland,OR,,-122.555803,45.574513,34,SCENARIO_B_capacity_expansion_11x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,WeShine PDX,,0,10,units
Beacon_Village,Beacon Village,621 NE 76th Ave,Portland,OR,,-122.587383,45.563251,34,SCENARIO_B_capacity_expansion_11x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,Beacon Village,2026-08-31,0,10,units
Parkrose_Community_Villa,Parkrose Community Village,12505 NE Halsey St,Portland,OR,,-122.578039,45.569031,34,SCENARIO_B_capacity_expansion_11x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,WeShine,,0,10,units
St_Andrews_Village,St Andrews Village,7600 N Hereford Ave,Portland,OR,,-122.591176,45.561328,34,SCENARIO_B_capacity_expansion_11x3.0627_real_location_unchanged_RELOCATED_scenarioC,2020-09-07,2020-09-19,operating,greedy_capacity_aware_p_median_over_rlis_graph,theoretical_site_not_a_real_facility,village,WeShine,,0,10,units
