agent_id,sim_id,commit,random_seed,data_version,starting_encampment,start_lon,start_lat,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,chronic_physical,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score,aware_initial,aware_tick,heavy_belongings,has_pet,has_dependents,theta_z,blockages_encountered,push_throughs,reroutes,stuck_events
Site 4129,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-134266,-122.671419,45.519917,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,52,1,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.5024,52,45-64,MALE,0,unimpaired,1,0,1,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,1,0,0,-0.300778,0,0,0,0
Site 4130,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,26-119344,-122.656230,45.490320,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,41,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.6111,41,18-44,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,0,0,-0.981007,0,0,0,0
Site 4131,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-112910,-122.688207,45.515869,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,28,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.3466,28,18-44,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,0.015928,0,0,0,0
Site 4132,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,26-109531,-122.598390,45.469560,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,40,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.3779,40,18-44,FEMALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,1,0,-0.242896,0,0,0,0
Site 4133,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,26-109302,-122.552952,45.472818,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,29,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,0.8272,29,18-44,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,0,0,-0.102305,0,0,0,0
Site 4134,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-201655,-122.539869,45.476493,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,45,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,0.7541,45,45-64,FEMALE,1,ambulant_impaired_no_aid,0,0,0,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,-1.052871,0,0,0,0
Site 4135,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-112687,-122.513625,45.516734,Menlo_Park_SRV,yes,7320,2020-09-12T02:00,7350,2020-09-12T02:30,30.0,2552.25,2525.20,147.41,524.25,18057.2633,153.7000,18057.2633,51.5167,53,0,0,1.000,1.000,SHELTERED,2525.20,27.05,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.3772,53,45-64,MALE,0,unimpaired,0,0,0,0,0,75.2300,0.6141,11170.1676,1.000,11170.1676,1,0,0,0,0,-0.706374,0,0,0,0
Site 4136,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-201246,-122.659982,45.517429,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,28,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.6600,28,18-44,MALE,1,ambulant_impaired_no_aid,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,1,0,-0.353389,0,0,0,0
Site 4137,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-145133,-122.717981,45.468286,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,29,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,0.7853,29,18-44,MALE,1,ambulant_impaired_no_aid,0,0,0,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,0,0,0.904239,0,0,0,0
Site 4138,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-212530,-122.631507,45.498292,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,55,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,0.7804,55,45-64,MALE,1,ambulant_impaired_no_aid,0,0,0,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,-1.209856,0,0,0,0
Site 4139,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-156672,-122.678009,45.509777,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,41,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.6644,41,18-44,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,0.361495,0,0,0,0
Site 4140,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-222012,-122.637990,45.504580,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,34,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.2466,34,18-44,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,1,0,-0.847770,0,0,0,0
Site 4141,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-156630,-122.515894,45.524613,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,46,0,1,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.4093,46,45-64,MALE,0,unimpaired,0,1,1,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,-0.159450,0,0,0,0
Site 4142,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,26-129862,-122.575930,45.479384,NEW_optimized_site_08,yes,11520,2020-09-15T00:00,11547,2020-09-15T00:27,27.0,2549.35,2548.06,338.19,984.75,65084.1767,299.2050,65084.1767,121.4667,39,0,0,1.000,1.000,SHELTERED,2548.06,1.29,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.5547,39,18-44,FEMALE,0,unimpaired,0,0,0,0,0,117.8490,0.6124,40003.5448,1.000,40003.5448,1,0,0,0,0,-1.245221,0,0,0,0
Site 4143,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-145332,-122.682974,45.589170,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,28,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.1274,28,18-44,FEMALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,-0.147029,0,0,0,0
Site 4144,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-212172,-122.673821,45.540212,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,53,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.8875,53,45-64,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,0,0,1.089380,0,0,0,0
Site 4145,sim-20260730-020924-seed43,495d845a083bd4d362fd093f9acb64f455347c1b,43,91693a105711,25-167586,-122.619124,45.570227,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,55,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E19_severe_counterfactual_over_C_expanded_plus_new_sites,1.4158,55,45-64,MALE,0,unimpaired,0,0,0,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,0,0,0.355217,0,0,0,0
