agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals
Site 0,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-190596,,no,960,2020-09-07T16:00,,,,10536.08,1928.33,173.09,562.70,54002.8192,186.6867,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10497.69,38.39,2
Site 1,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-167596,,no,960,2020-09-07T16:00,,,,10436.49,10419.43,173.09,562.70,54002.8192,182.9500,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10419.43,17.06,1
Site 2,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,26-109654,,no,960,2020-09-07T16:00,,,,10140.61,1530.32,173.09,562.70,54002.8192,177.3450,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10099.68,40.93,2
Site 3,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-123950,,no,960,2020-09-07T16:00,,,,14083.33,14067.21,173.09,562.70,54002.8192,269.1433,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,14067.21,16.12,1
Site 4,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,26-140497,,no,960,2020-09-07T16:00,,,,11409.95,2829.49,173.09,562.70,54002.8192,207.2383,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11398.85,11.10,2
Site 5,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-134632,,no,960,2020-09-07T16:00,,,,7393.10,7357.09,173.09,562.70,54002.8192,125.4050,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,7357.09,36.01,1
Site 6,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-102239,,no,960,2020-09-07T16:00,,,,12016.01,12014.75,173.09,562.70,54002.8192,222.1850,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12014.75,1.26,1
Site 7,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-222052,,no,960,2020-09-07T16:00,,,,5188.55,5118.40,173.09,562.70,54002.8192,90.9650,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,5118.40,70.15,1
Site 8,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-190339,,no,960,2020-09-07T16:00,,,,10028.07,1427.65,173.09,562.70,54002.8192,173.6083,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,9997.01,31.07,2
Site 9,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,26-109372,,no,960,2020-09-07T16:00,,,,12492.89,12449.10,173.09,562.70,54002.8192,233.3950,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12449.10,43.79,1
Site 10,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-134250,,no,960,2020-09-07T16:00,,,,10307.12,1692.52,173.09,562.70,54002.8192,181.0817,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10261.88,45.24,2
Site 11,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,25-167942,,no,960,2020-09-07T16:00,,,,11259.85,2689.19,173.09,562.70,54002.8192,203.5017,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11258.55,1.30,2
Site 12,sim-20260725-220529-seed43,83d721b7e796a803ae86e8942531b7f7e03db038,43,0bc943324ae6,26-109429,,no,960,2020-09-07T16:00,,,,8398.10,8345.40,173.09,562.70,54002.8192,141.3950,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,8345.40,52.70,1
