agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals
Site 266,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-124009,,no,960,2020-09-07T16:00,,,,10101.18,1530.58,173.09,562.70,54002.8192,175.4767,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10099.94,1.24,2
Site 267,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-119569,,no,960,2020-09-07T16:00,,,,9699.03,9575.04,173.09,562.70,54002.8192,166.1350,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,9575.04,123.98,1
Site 268,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-140515,,no,960,2020-09-07T16:00,,,,11783.03,3146.41,173.09,562.70,54002.8192,216.5800,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11715.77,67.27,2
Site 269,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-109567,,no,960,2020-09-07T16:00,,,,12724.62,12623.76,173.09,562.70,54002.8192,239.0000,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12623.76,100.86,1
Site 270,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-134498,,no,960,2020-09-07T16:00,,,,11343.98,11326.01,173.09,562.70,54002.8192,205.3700,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11326.01,17.98,1
Site 271,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-112861,CJ,yes,960,2020-09-07T16:00,982,2020-09-07T16:22,22.0,1762.90,1680.67,10.82,82.50,177.0333,30.2500,177.0333,0.3833,,,,1.000,1.000,SHELTERED,1680.67,82.22,0
Site 272,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-145148,,no,960,2020-09-07T16:00,,,,11087.38,11069.20,173.09,562.70,54002.8192,199.7650,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11069.20,18.17,1
Site 273,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-201232,,no,960,2020-09-07T16:00,,,,3624.13,3620.54,173.09,562.70,54002.8192,64.6250,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,3620.54,3.59,1
Site 274,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-221931,,no,960,2020-09-07T16:00,,,,12874.67,12846.29,173.09,562.70,54002.8192,242.7367,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12846.29,28.39,1
Site 275,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-212290,,no,960,2020-09-07T16:00,,,,7507.85,7304.70,173.09,562.70,54002.8192,127.8650,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,7304.70,203.15,1
