agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 0,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,25-190596,OPT2,yes,4740,2020-09-10T07:00,5779,2020-09-11T00:19,1039.0,5261.25,3129.03,51.08,299.55,4920.2417,120.5842,4920.2417,23.3333,37,0,1,1.000,1.000,SHELTERED,5222.86,38.39,0,B_optimized_placement,1.7805,37,25-54,MALE,0,unimpaired,0,1,1,1
Site 1,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,25-167596,,no,4740,2020-09-10T07:00,,,,13731.02,11620.14,173.09,562.70,54002.8192,533.7975,54002.8192,194.0000,43,0,0,1.000,1.000,REFUSED_ALL_FULL,13713.96,17.06,1,B_optimized_placement,0.8023,43,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 2,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,26-109654,OPT1,yes,4740,2020-09-10T07:00,4744,2020-09-10T07:04,4.0,355.70,314.77,17.18,112.10,1358.0875,3.9833,1358.0875,6.0833,35,0,0,1.000,1.000,SHELTERED,314.77,40.93,0,B_optimized_placement,1.3837,35,25-54,MALE,0,unimpaired,0,0,0,0
Site 3,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,25-123950,,no,4740,2020-09-10T07:00,,,,17377.86,15267.92,173.09,562.70,54002.8192,346.3983,54002.8192,194.0000,50,1,0,1.000,1.000,REFUSED_ALL_FULL,17361.74,16.12,1,B_optimized_placement,1.4069,50,25-54,MALE,0,unimpaired,1,0,1,1
Site 4,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,26-140497,,no,4740,2020-09-10T07:00,,,,5417.44,3312.51,173.09,562.70,54002.8192,178.4892,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,5406.34,11.10,1,B_optimized_placement,1.2571,29,25-54,MALE,0,unimpaired,0,0,0,0
Site 5,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,25-134632,,no,4740,2020-09-10T07:00,,,,10192.04,8062.20,173.09,562.70,54002.8192,219.1475,54002.8192,194.0000,42,0,0,1.000,1.000,REFUSED_ALL_FULL,10156.03,36.01,1,B_optimized_placement,1.4101,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 6,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,25-102239,,no,4740,2020-09-10T07:00,,,,14814.95,12719.87,173.09,562.70,54002.8192,293.1083,54002.8192,194.0000,42,0,0,1.000,1.000,REFUSED_ALL_FULL,14813.69,1.26,1,B_optimized_placement,1.4250,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 7,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,25-222052,,no,4740,2020-09-10T07:00,,,,7652.59,5488.62,173.09,562.70,54002.8192,162.7900,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,7582.45,70.15,1,B_optimized_placement,1.6056,35,25-54,MALE,0,unimpaired,0,0,0,0
Site 8,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,25-190339,OPT1,yes,4740,2020-09-10T07:00,4742,2020-09-10T07:02,2.0,268.67,237.61,17.16,112.10,1356.0958,1.9917,1356.0958,6.0500,40,0,0,1.000,1.000,SHELTERED,237.61,31.07,0,B_optimized_placement,1.7758,40,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 9,sim-20260725-225228-seed43,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,43,0c1d98308440,26-109372,,no,4740,2020-09-10T07:00,,,,15291.83,13154.21,173.09,562.70,54002.8192,244.9417,54002.8192,194.0000,45,0,0,1.000,1.000,REFUSED_ALL_FULL,15248.04,43.79,1,B_optimized_placement,1.6865,45,25-54,MALE,0,unimpaired,0,0,0,0
