agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 0,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-167975,OCC,yes,4740,2020-09-10T07:00,4795,2020-09-10T07:55,55.0,3984.30,3973.36,17.63,112.10,1408.8750,54.7708,1408.8750,6.9333,41,1,1,1.000,1.000,SHELTERED,3973.36,10.94,0,A_placement_current,1.2031,41,25-54,MALE,0,unimpaired,1,1,1,1,49.6750,0.6216,914.7323,1.000,914.7323
Site 1,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-222229,CJ,yes,4740,2020-09-10T07:00,5914,2020-09-11T02:34,1174.0,21775.95,13179.00,56.36,299.55,5555.6292,1043.4875,5555.6292,25.5833,29,0,0,1.000,1.000,SHELTERED,21748.36,27.58,0,A_placement_current,0.9270,29,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,66.7243,0.6769,4442.8562,1.000,4442.8562
Site 2,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-179260,OCC,yes,4740,2020-09-10T07:00,4766,2020-09-10T07:26,26.0,1329.44,1291.76,17.37,112.10,1379.9958,25.8917,1379.9958,6.4500,33,0,0,1.000,1.000,SHELTERED,1291.76,37.68,0,A_placement_current,0.8257,33,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,48.8920,0.6155,867.9480,1.000,867.9480
Site 3,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,26-149715,OCC,yes,4740,2020-09-10T07:00,4798,2020-09-10T07:58,58.0,3876.10,3823.05,17.66,112.10,1411.8625,57.7583,1411.8625,6.9833,35,0,0,1.000,1.000,SHELTERED,3823.05,53.04,0,A_placement_current,1.1114,35,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,49.7560,0.6222,919.5720,1.000,919.5720
Site 4,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-167871,CJ,yes,4740,2020-09-10T07:00,5885,2020-09-11T02:05,1145.0,21034.01,12463.40,55.27,299.55,5421.0933,820.2183,5421.0933,25.1000,60,1,1,1.000,1.000,SHELTERED,21032.76,1.25,0,A_placement_current,1.1402,60,55-69,FEMALE,1,ambulant_impaired_no_aid,1,1,1,1,65.0155,0.6629,4135.2874,1.000,4135.2874
Site 5,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,26-140306,CJ,yes,4740,2020-09-10T07:00,5859,2020-09-11T01:39,1119.0,19322.01,10722.51,54.27,299.55,5299.2417,604.7033,5299.2417,24.6667,31,0,0,1.000,1.000,SHELTERED,19291.87,30.14,0,A_placement_current,1.4420,31,25-54,MALE,0,unimpaired,0,0,0,0,63.3372,0.6486,3843.2878,1.000,3843.2878
Site 6,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-123572,OCC,yes,4740,2020-09-10T07:00,4761,2020-09-10T07:21,21.0,2014.09,1984.76,17.33,112.10,1375.0167,20.9125,1375.0167,6.3667,36,0,0,1.000,1.000,SHELTERED,1984.76,29.34,0,A_placement_current,1.5555,36,25-54,MALE,0,unimpaired,0,0,0,0,48.7570,0.6145,859.8818,1.000,859.8818
Site 7,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-145307,CJ,yes,4740,2020-09-10T07:00,6007,2020-09-11T04:07,1267.0,15545.10,6840.31,59.71,299.55,5977.5150,1407.2933,5977.5150,27.1333,38,1,0,1.000,1.000,SHELTERED,15409.67,135.43,0,A_placement_current,0.5774,38,25-54,MALE,1,ambulant_impaired_no_aid,1,0,1,1,68.6293,0.6855,5067.6504,1.000,5067.6504
Site 8,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-167592,OCC,yes,4740,2020-09-10T07:00,4766,2020-09-10T07:26,26.0,2167.28,2161.22,17.37,112.10,1379.9958,25.8917,1379.9958,6.4500,44,0,0,1.000,1.000,SHELTERED,2161.22,6.06,0,A_placement_current,1.3813,44,25-54,MALE,0,unimpaired,0,0,0,0,48.8920,0.6155,867.9480,1.000,867.9480
Site 9,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,26-130108,CJ,yes,4740,2020-09-10T07:00,5961,2020-09-11T03:21,1221.0,22143.68,13558.54,58.09,299.55,5771.1217,1399.1358,5771.1217,26.3667,26,0,1,1.000,1.000,SHELTERED,22127.90,15.78,0,A_placement_current,0.7088,26,25-54,MALE,1,ambulant_impaired_no_aid,0,1,1,1,69.3737,0.6983,4933.5114,1.000,4933.5114
Site 10,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-178796,CJ,yes,4740,2020-09-10T07:00,5938,2020-09-11T02:58,1198.0,23530.17,14943.74,57.26,299.55,5666.9692,1278.2433,5666.9692,25.9833,62,0,0,1.000,1.000,SHELTERED,23513.10,17.08,0,A_placement_current,0.8008,62,55-69,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,68.6180,0.6933,4747.8770,1.000,4747.8770
Site 11,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-123721,OCC,yes,4740,2020-09-10T07:00,4769,2020-09-10T07:29,29.0,3007.17,2993.47,17.40,112.10,1382.9833,28.8792,1382.9833,6.5000,39,0,0,1.000,1.000,SHELTERED,2993.47,13.71,0,A_placement_current,1.6839,39,25-54,FEMALE,0,unimpaired,0,0,0,0,48.9730,0.6161,872.7878,1.000,872.7878
Site 12,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-212228,CJ,yes,4740,2020-09-10T07:00,5891,2020-09-11T02:11,1151.0,22800.18,14176.07,55.50,299.55,5448.9283,906.1333,5448.9283,25.2000,64,0,0,1.000,1.000,SHELTERED,22745.43,54.75,0,A_placement_current,1.0867,64,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1,65.7835,0.6700,4239.0409,1.000,4239.0409
Site 13,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-112763,CJ,yes,4740,2020-09-10T07:00,5874,2020-09-11T01:54,1134.0,25109.91,16527.76,54.85,299.55,5369.7542,830.1858,5369.7542,24.9167,30,0,1,1.000,1.000,SHELTERED,25097.12,12.78,0,A_placement_current,1.2479,30,25-54,OTHER,1,ambulant_impaired_no_aid,0,1,1,1,65.3582,0.6676,4114.0377,1.000,4114.0377
Site 14,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,26-150129,OCC,yes,4740,2020-09-10T07:00,4783,2020-09-10T07:43,43.0,2654.96,2653.70,17.52,112.10,1396.9250,42.8208,1396.9250,6.7333,56,0,1,1.000,1.000,SHELTERED,2653.70,1.26,0,A_placement_current,1.0226,56,55-69,FEMALE,0,unimpaired,0,1,1,1,49.3510,0.6191,895.3733,1.000,895.3733
Site 15,sim-20260726-005323-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,9308e3f21ffc,25-178967,OCC,yes,4740,2020-09-10T07:00,4768,2020-09-10T07:28,28.0,2825.09,2823.83,17.39,112.10,1381.9875,27.8833,1381.9875,6.4833,30,0,0,1.000,1.000,SHELTERED,2823.83,1.26,0,A_placement_current,1.6800,30,25-54,MALE,0,unimpaired,0,0,0,0,48.9460,0.6159,871.1745,1.000,871.1745
