agent_id,sim_id,commit,random_seed,data_version,starting_encampment,start_lon,start_lat,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,chronic_physical,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score,aware_initial,aware_tick,heavy_belongings,has_pet,has_dependents,theta_z,blockages_encountered,push_throughs,reroutes,stuck_events
Site 0,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,25-201488,-122.499034,45.518121,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,27,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.2511,27,18-44,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,1.422244,0,0,0,0
Site 1,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,25-123824,-122.599354,45.539649,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,55,0,1,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,0.7989,55,45-64,MALE,0,unimpaired,0,1,1,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,1.931872,0,0,0,0
Site 2,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,25-178775,-122.486497,45.490523,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,48,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.4554,48,45-64,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,1,0,0,-0.199487,0,0,0,0
Site 3,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,26-140279,-122.757604,45.588510,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,38,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.4902,38,18-44,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,0,0,-0.332999,0,0,0,0
Site 4,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,26-109677,-122.593989,45.534849,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,26,0,1,1.000,1.000,PRE_EVAC,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.0811,26,18-44,MALE,0,unimpaired,0,1,1,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,0,0,0.026557,0,0,0,0
Site 5,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,25-123734,-122.661077,45.525106,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,50,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.4648,50,45-64,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,0,0,0.679392,0,0,0,0
Site 6,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,26-130103,-122.559260,45.477117,Laurelwood_Center,yes,12120,2020-09-15T10:00,12252,2020-09-15T12:12,132.0,5723.43,3569.84,347.77,984.75,71014.3842,881.3717,71014.3842,133.2167,40,0,0,1.000,1.000,SHELTERED,5674.43,48.99,1,E18_severe_counterfactual_over_A_present_day,0.7203,40,18-44,MALE,1,ambulant_impaired_no_aid,0,0,0,0,1,126.7840,0.6209,44208.9597,1.000,44208.9597,1,0,0,1,0,0.535380,0,0,0,0
Site 7,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,25-156567,-122.688006,45.556196,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,31,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.4085,31,18-44,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,0.464632,0,0,0,0
Site 8,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,25-167986,-122.658207,45.510069,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,55,0,1,1.000,1.000,PRE_EVAC,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.3341,55,45-64,FEMALE,0,unimpaired,0,1,1,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,1,0,0.386293,0,0,0,0
Site 9,sim-20260730-020333-seed44,495d845a083bd4d362fd093f9acb64f455347c1b,44,58db846ad1e9,25-102237,-122.579790,45.472011,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,47,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.3000,47,45-64,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,-0.698432,0,0,0,0
