agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 444,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-150015,,no,4740,2020-09-10T07:00,,,,20596.44,12007.50,173.09,562.70,54002.8192,557.6950,54002.8192,194.0000,25,1,0,1.000,1.000,REFUSED_ALL_FULL,20576.86,19.58,1,HISTORICAL_capacity_reference_not_a_scenario,1.6134,25,25-54,FEMALE,0,unimpaired,1,0,1,1,193.9223,0.6215,33504.9916,1.000,33504.9916
Site 445,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-167919,,no,4740,2020-09-10T07:00,,,,18608.62,10014.33,173.09,562.70,54002.8192,826.2417,54002.8192,194.0000,56,1,1,1.000,1.000,REFUSED_ALL_FULL,18583.69,24.93,1,HISTORICAL_capacity_reference_not_a_scenario,1.0631,56,55-69,FEMALE,0,unimpaired,1,1,1,1,195.2522,0.6258,33776.2238,1.000,33776.2238
Site 446,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-102206,,no,4740,2020-09-10T07:00,,,,19079.09,10467.45,173.09,562.70,54002.8192,618.8058,54002.8192,194.0000,28,1,0,1.000,1.000,REFUSED_ALL_FULL,19036.81,42.28,1,HISTORICAL_capacity_reference_not_a_scenario,1.4049,28,25-54,MALE,0,unimpaired,1,0,1,1,194.1412,0.6222,33566.7136,1.000,33566.7136
Site 447,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-109491,,no,4740,2020-09-10T07:00,,,,12471.02,3889.53,173.09,562.70,54002.8192,509.8208,54002.8192,194.0000,46,0,0,1.000,1.000,REFUSED_ALL_FULL,12458.89,12.13,1,HISTORICAL_capacity_reference_not_a_scenario,1.4577,46,25-54,MALE,0,unimpaired,0,0,0,0,192.7272,0.6177,33456.6387,1.000,33456.6387
Site 448,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-140398,,no,4740,2020-09-10T07:00,,,,17390.77,8814.20,173.09,562.70,54002.8192,599.3975,54002.8192,194.0000,31,0,0,1.000,1.000,REFUSED_ALL_FULL,17383.56,7.21,1,HISTORICAL_capacity_reference_not_a_scenario,1.3889,31,25-54,OTHER,0,unimpaired,0,0,0,0,193.8382,0.6213,33547.1112,1.000,33547.1112
Site 449,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-140406,,no,4740,2020-09-10T07:00,,,,24008.43,15393.73,173.09,562.70,54002.8192,842.3967,54002.8192,194.0000,37,0,0,1.000,1.000,REFUSED_ALL_FULL,23963.09,45.34,1,HISTORICAL_capacity_reference_not_a_scenario,1.2058,37,25-54,MALE,0,unimpaired,0,0,0,0,195.9255,0.6280,33792.5403,1.000,33792.5403
Site 450,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-140518,,no,4740,2020-09-10T07:00,,,,17083.32,8444.77,173.09,562.70,54002.8192,654.1700,54002.8192,194.0000,46,0,0,1.000,1.000,REFUSED_ALL_FULL,17014.13,69.19,1,HISTORICAL_capacity_reference_not_a_scenario,1.2653,46,25-54,OTHER,0,unimpaired,0,0,0,0,194.1243,0.6222,33602.4314,1.000,33602.4314
Site 451,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-140539,,no,4740,2020-09-10T07:00,,,,15761.12,7187.11,173.09,562.70,54002.8192,600.4542,54002.8192,194.0000,39,0,0,1.000,1.000,REFUSED_ALL_FULL,15756.47,4.64,1,HISTORICAL_capacity_reference_not_a_scenario,1.3363,39,25-54,MALE,0,unimpaired,0,0,0,0,193.6362,0.6206,33548.1784,1.000,33548.1784
Site 452,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-134632,,no,4740,2020-09-10T07:00,,,,15962.46,7357.09,173.09,562.70,54002.8192,535.1708,54002.8192,194.0000,36,0,0,1.000,1.000,REFUSED_ALL_FULL,15926.45,36.01,1,HISTORICAL_capacity_reference_not_a_scenario,1.5178,36,25-54,MALE,0,unimpaired,0,0,0,0,193.2995,0.6195,33482.2422,1.000,33482.2422
Site 453,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-112605,,no,4740,2020-09-10T07:00,,,,15337.51,6694.48,173.09,562.70,54002.8192,537.9175,54002.8192,194.0000,32,0,0,1.000,1.000,REFUSED_ALL_FULL,15263.84,73.68,1,HISTORICAL_capacity_reference_not_a_scenario,1.4850,32,25-54,MALE,0,unimpaired,0,0,0,0,193.2322,0.6193,33485.0164,1.000,33485.0164
